Sample,Courant,Pose
0,-3.33,0.18
1,1.81,0.36
2,1.72,0.54
3,1.57,0.71
4,1.43,0.88
5,1.29,1.05
6,1.12,1.21
7,0.99,1.37
8,0.88,1.52
9,0.76,1.67
10,0.66,1.81
11,0.57,1.95
12,0.49,2.07
13,0.42,2.2
14,0.36,2.31
15,0.29,2.42
16,0.24,2.51
17,0.19,2.6
18,0.15,2.68
19,0.11,2.75
20,0.08,2.81
21,0.06,2.86
22,0.03,2.9
23,0.0,2.93
24,-0.02,2.96
25,-0.04,2.98
26,-0.05,2.99
27,-0.06,2.99
28,-0.08,2.99
29,-0.09,2.99
30,-0.1,2.98
31,-0.11,2.98
32,-0.11,2.97
33,-0.12,2.96
34,-0.13,2.96
35,-0.13,2.96
36,-0.14,2.97
37,-0.14,2.97
38,-0.14,2.99
39,-0.15,3.01
40,-0.14,3.03
41,-0.15,3.07
42,-0.14,3.11
43,-0.14,3.15
44,-0.13,3.2
45,-0.13,3.26
46,-0.13,3.32
47,-0.12,3.39
48,-0.12,3.46
49,-0.11,3.53
50,-0.11,3.6
51,-0.11,3.68
52,-0.1,3.76
53,-0.09,3.84
54,-0.09,3.92
55,-0.09,3.99
56,-0.08,4.07
57,-0.08,4.14
58,-0.08,4.21
59,-0.07,4.27
60,-0.07,4.33
61,-0.07,4.38
62,-0.07,4.43
63,-0.06,4.47
64,-0.07,4.5
65,-0.07,4.53
66,-0.07,4.54
67,-0.07,4.55
68,-0.07,4.56
69,-0.07,4.55
70,-0.07,4.54
71,-0.08,4.53
72,-0.08,4.51
73,-0.09,4.48
74,-0.09,4.45
75,-0.09,4.42
76,-0.1,4.39
77,-0.09,4.36
78,-0.11,4.32
79,-0.1,4.29
80,-0.11,4.27
81,-0.11,4.24
82,-0.11,4.22
83,-0.11,4.21
84,-0.11,4.2
85,-0.11,4.19
86,-0.11,4.2
87,-0.11,4.21
88,-0.11,4.22
89,-0.1,4.24
90,-0.1,4.27
91,-0.1,4.3
92,-0.09,4.34
93,-0.09,4.38
94,-0.09,4.42
95,-0.08,4.47
96,-0.08,4.52
97,-0.07,4.58
98,-0.07,4.63
99,-0.07,4.69
100,-0.06,4.74
101,-0.06,4.8
102,-0.06,4.85
103,-0.05,4.9
104,-0.05,4.95
105,-0.05,4.99
106,-0.05,5.03
107,-0.04,5.06
108,-0.04,5.09
109,-0.04,5.12
110,-0.05,5.14
111,-0.04,5.15
112,-0.06,5.15
113,-0.05,5.15
114,-0.05,5.14
115,-0.06,5.12
116,-0.06,5.11
117,-0.06,5.08
118,-0.06,5.05
119,-0.07,5.02
120,-0.07,4.98
121,-0.07,4.95
122,-0.07,4.91
123,-0.07,4.87
124,-0.08,4.83
125,-0.09,4.8
126,-0.09,4.76
127,-0.09,4.73
128,-0.09,4.71
129,-0.09,4.69
130,-0.09,4.67
131,-0.09,4.66
132,-0.09,4.66
133,-0.09,4.66
134,-0.09,4.66
135,-0.08,4.68
136,-0.08,4.69
137,-0.08,4.72
138,-0.08,4.74
139,-0.07,4.77
140,-0.07,4.81
141,-0.07,4.85
142,-0.06,4.89
143,-0.06,4.93
144,-0.06,4.97
145,-0.06,5.02
146,-0.06,5.06
147,-0.05,5.11
148,-0.04,5.15
149,-0.04,5.19
150,-0.04,5.23
151,-0.04,5.26
152,-0.04,5.29
153,-0.04,5.32
154,-0.04,5.34
155,-0.03,5.36
156,-0.04,5.37
157,-0.04,5.37
158,-0.04,5.37
159,-0.04,5.37
160,-0.04,5.35
161,-0.04,5.34
162,-0.05,5.31
163,-0.05,5.29
164,-0.05,5.26
165,-0.06,5.23
166,-0.06,5.19
167,-0.06,5.15
168,-0.06,5.12
169,-0.07,5.08
170,-0.07,5.04
171,-0.07,5.01
172,-0.07,4.98
173,-0.07,4.95
174,-0.07,4.92
