Sample,Courant,Pose
0,-3.13,32.81
1,-3.14,32.81
2,-3.14,32.81
3,-3.14,32.81
4,-3.14,32.81
5,-3.14,32.81
6,-3.14,32.81
7,-3.14,32.81
8,-3.14,32.81
9,-3.14,32.81
10,-3.14,32.81
11,-3.14,32.81
12,-3.14,32.81
13,-3.14,32.81
14,-3.14,32.81
15,-3.14,32.81
16,-3.14,32.81
17,-3.14,32.81
18,-3.14,32.81
19,-3.14,32.81
20,-3.14,32.81
21,-3.14,32.81
22,-3.14,32.81
23,-3.14,32.81
24,-3.14,32.81
25,-3.15,32.81
26,-3.14,32.81
27,-3.14,32.81
28,-3.15,32.81
29,-3.14,32.81
30,-3.14,32.81
31,-3.14,32.81
32,-3.14,32.81
33,-3.14,32.81
34,-3.14,32.81
35,-3.14,32.81
36,-3.14,32.81
37,-3.14,32.81
38,-3.14,32.81
39,-3.14,32.81
40,-3.14,32.81
41,-3.14,32.81
42,-3.14,32.81
43,-3.14,32.81
44,-3.14,32.81
45,-3.14,32.81
46,-3.14,32.81
47,-3.14,32.81
48,-3.14,32.81
49,-3.14,32.81
50,-3.14,32.81
51,-3.14,32.81
52,-3.14,32.81
53,-3.14,32.81
54,-3.14,32.81
55,-3.14,32.81
56,-3.14,32.81
57,-3.14,32.81
58,-3.14,32.81
59,-3.14,32.81
60,-3.14,32.81
61,-3.14,32.81
62,-3.14,32.81
63,-3.14,32.81
64,-3.14,32.81
65,-3.14,32.81
66,-3.14,32.81
67,-3.14,32.81
68,-3.14,32.81
69,-3.14,32.81
70,-3.13,32.81
71,-3.14,32.81
72,-3.14,32.81
73,-3.14,32.81
74,-3.14,32.81
75,-3.14,32.81
76,-3.14,32.81
77,-3.14,32.81
78,-3.14,32.81
79,-3.14,32.81
80,-3.14,32.81
81,-3.14,32.81
82,-3.14,32.81
83,-3.14,32.81
84,-3.14,32.81
85,-3.14,32.81
86,-3.13,32.81
87,-3.14,32.81
88,-3.14,32.81
89,-3.14,32.81
90,-3.14,32.81
91,-3.14,32.81
92,-3.13,32.81
93,-3.13,32.81
94,-3.13,32.81
95,-3.13,32.81
96,-3.13,32.81
97,-3.13,32.81
98,-3.13,32.81
99,-3.14,32.81
100,-3.13,32.81
101,-3.12,32.81
102,-3.12,32.81
103,-3.12,32.81
104,-3.12,32.81
105,-3.12,32.81
106,-3.12,32.81
107,-3.12,32.81
108,-3.12,32.81
109,-3.12,32.81
110,-3.12,32.81
111,-3.12,32.81
112,-3.12,32.81
113,-3.12,32.81
114,-3.12,32.81
115,-3.12,32.81
116,-3.12,32.81
117,-3.12,32.81
118,-3.12,32.81
119,-3.11,32.81
120,-3.12,32.81
121,-3.11,32.81
122,-3.11,32.81
123,-3.11,32.81
124,-3.11,32.81
125,-3.1,32.81
126,-3.1,32.81
127,-3.09,32.81
128,-3.09,32.81
129,-3.09,32.81
130,-3.08,32.81
131,-3.09,32.81
132,-3.09,32.81
133,-3.09,32.81
134,-3.09,32.81
135,-3.1,32.81
136,-3.11,32.81
137,-3.1,32.81
138,-3.11,32.81
139,-3.11,32.81
140,-3.11,32.81
141,-3.11,32.81
142,-3.11,32.81
143,-3.11,32.81
144,-3.11,32.81
145,-3.11,32.81
146,-3.11,32.81
147,-3.11,32.81
148,-3.11,32.81
149,-3.11,32.81
150,-3.12,32.81
151,-3.12,32.81
152,-3.12,32.81
153,-3.12,32.81
154,-3.12,32.81
155,-3.12,32.81
156,-3.12,32.81
157,-3.12,32.81
158,-3.12,32.81
159,-3.12,32.81
160,-3.12,32.81
161,-3.12,32.81
162,-3.12,32.81
163,-3.12,32.81
164,-3.12,32.81
165,-3.12,32.81
166,-3.12,32.81
167,-3.12,32.81
168,-3.12,32.81
169,-3.12,32.81
170,-3.12,32.81
171,-3.12,32.81
172,-3.12,32.81
173,-3.12,32.81
174,-3.12,32.81
175,-3.12,32.81
176,-3.12,32.81
177,-3.12,32.81
178,-3.12,32.81
179,-3.12,32.81
180,-3.12,32.81
181,-3.12,32.81
182,-3.12,32.81
183,-3.12,32.81
184,-3.12,32.81
185,-3.12,32.81
186,-3.12,32.81
187,-3.12,32.81
188,-3.12,32.81
189,-3.12,32.81
190,-3.12,32.81
191,-3.12,32.81
192,-3.12,32.81
193,-3.12,32.81
194,-3.12,32.81
195,-3.13,32.81
196,-3.13,32.81
197,-3.13,32.81
198,-3.13,32.81
199,-3.14,32.81
200,-3.14,32.81
201,-3.13,32.81
202,-3.12,33.14
203,-3.14,29.47
204,-3.14,29.47
205,-3.14,29.48
206,-3.14,29.48
207,-3.14,29.48
208,-3.14,29.48
209,-3.14,29.49
210,-3.14,29.49
211,-3.14,29.5
212,-3.14,29.5
213,-3.14,29.5
214,-3.14,29.51
215,-3.13,29.51
216,-3.14,29.51
217,-3.14,29.52
218,-3.14,29.52
219,-3.14,29.51
220,-3.14,29.52
221,-3.14,29.52
222,-3.14,29.51
223,-3.14,29.51
224,-3.14,29.51
225,-3.14,29.52
226,-3.14,29.52
227,-3.14,29.52
228,-3.14,29.52
229,-3.14,29.52
230,-3.14,29.51
231,-3.14,29.52
232,-3.14,29.52
233,-3.14,29.52
234,-3.14,29.52
235,-3.14,29.52
236,-3.14,29.52
237,-3.14,29.51
238,-3.14,29.51
239,-3.14,29.5
240,-3.14,29.5
241,-3.14,29.5
242,-3.14,29.5
243,-3.14,29.49
244,-3.14,29.49
245,-3.14,29.49
246,-3.14,29.48
247,-3.14,29.49
248,-3.14,29.5
249,-3.14,29.5
250,-3.14,29.51
251,-3.14,29.5
252,-3.14,29.5
253,-3.14,29.49
254,-3.14,29.49
255,-3.14,29.49
256,-3.14,29.5
257,-3.14,29.5
258,-3.14,29.51
259,-3.14,29.51
260,-3.14,29.51
261,-3.14,29.51
262,-3.14,29.52
263,-3.14,29.52
264,-3.14,29.52
265,-3.14,29.51
266,-3.14,29.51
267,-3.14,29.5
268,-3.14,29.51
269,-3.14,29.51
270,-3.14,29.51
271,-3.14,29.5
272,-3.14,29.51
273,-3.14,29.5
274,-3.14,29.5
275,-3.14,29.49
276,-3.14,29.5
277,-3.14,29.49
278,-3.14,29.5
279,-3.13,29.5
280,-3.14,29.49
281,-3.14,29.49
282,-3.14,29.49
283,-3.14,29.49
284,-3.14,29.49
285,-3.14,29.48
286,-3.14,29.48
287,-3.14,29.48
288,-3.14,29.48
289,-3.14,29.48
290,-3.14,29.49
291,-3.14,29.49
292,-3.14,29.49
293,-3.14,29.49
294,-3.14,29.49
295,-3.14,29.49
296,-3.14,29.5
297,-3.14,29.5
298,-3.14,29.5
299,-3.14,29.49
300,-3.14,29.49
301,-3.14,29.49
302,-3.14,29.48
303,-3.13,29.48
304,-3.14,29.48
305,-3.14,29.49
306,-3.14,29.48
307,-3.14,29.48
308,-3.14,29.48
309,-3.14,29.48
310,-3.14,29.46
311,-3.14,29.46
312,-3.14,29.47
313,-3.14,29.47
314,-3.14,29.47
315,-3.14,29.47
316,-3.14,29.47
317,-3.14,29.47
318,-3.14,29.46
319,-3.14,29.46
320,-3.14,29.46
321,-3.14,29.46
322,-3.14,29.46
323,-3.14,29.45
324,-3.14,29.45
325,-3.14,29.45
326,-3.14,29.45
327,-3.14,29.45
328,-3.14,29.45
329,-3.14,29.45
330,-3.14,29.44
331,-3.14,29.43
332,-3.14,29.44
333,-3.14,29.44
334,-3.14,29.43
335,-3.14,29.43
336,-3.14,29.44
337,-3.14,29.44
338,-3.14,29.44
339,-3.14,29.44
340,-3.14,29.44
341,-3.14,29.44
342,-3.14,29.45
343,-3.14,29.45
344,-3.14,29.44
345,-3.14,29.44
346,-3.14,29.44
347,-3.14,29.43
348,-3.14,29.44
349,-3.14,29.44
350,-3.14,29.44
351,-3.14,29.44
352,-3.14,29.44
353,-3.14,29.45
354,-3.14,29.44
355,-3.14,29.45
356,-3.14,29.45
357,-3.14,29.44
358,-3.14,29.43
359,-3.14,29.43
360,-3.14,29.44
361,-3.14,29.44
362,-3.14,29.43
363,-3.14,29.42
364,-3.14,29.42
365,-3.14,29.41
366,-3.14,29.41
367,-3.14,29.41
368,-3.14,29.41
369,-3.14,29.4
370,-3.14,29.4
371,-3.14,29.4
372,-3.14,29.38
373,-3.14,29.38
374,-3.14,29.38
375,-3.14,29.38
376,-3.14,29.39
377,-3.14,29.38
378,-3.14,29.38
379,-3.14,29.38
380,-3.14,29.38
381,-3.14,29.39
382,-3.14,29.38
383,-3.14,29.39
384,-3.14,29.4
385,-3.14,29.4
386,-3.14,29.41
387,-3.14,29.4
388,-3.14,29.4
389,-3.14,29.41
390,-3.14,29.42
391,-3.13,29.42
392,-3.14,29.42
393,-3.14,29.42
394,-3.14,29.42
395,-3.14,29.41
396,-3.14,29.41
397,-3.14,29.41
398,-3.13,29.41
399,-3.14,29.41
400,-3.14,29.41
401,-3.14,29.4
402,-3.14,29.4
403,-3.14,29.4
404,-3.14,29.41
405,-3.14,29.41
406,-3.14,29.4
407,-3.14,29.4
408,-3.14,29.39
409,-3.14,29.4
410,-3.14,29.4
411,-3.14,29.4
412,-3.14,29.41
413,-3.14,29.41
414,-3.14,29.41
415,-3.14,29.4
416,-3.14,29.4
417,-3.14,29.41
418,-3.14,29.41
419,-3.14,29.41
420,-3.14,29.41
421,-3.14,29.42
422,-3.14,29.41
423,-3.14,29.41
424,-3.14,29.41
425,-3.14,29.41
426,-3.14,29.41
427,-3.14,29.41
428,-3.14,29.39
429,-3.14,29.39
430,-3.14,29.39
431,-3.14,29.38
432,-3.14,29.39
433,-3.14,29.4
434,-3.14,29.39
435,-3.14,29.39
436,-3.14,29.39
437,-3.14,29.4
