Sample,Courant,Pose
0,-2.73,13.43
1,-2.72,13.43
2,-2.72,13.43
3,-2.72,13.43
4,-2.73,13.43
5,-2.72,13.43
6,-2.73,13.43
7,-2.73,13.43
8,-2.73,13.43
9,-2.73,13.43
10,-2.73,13.43
11,-2.73,13.43
12,-2.73,13.43
13,-2.73,13.43
14,-2.73,13.43
15,-2.73,13.43
16,-2.73,13.43
17,-2.73,13.43
18,-2.74,13.43
19,-2.74,13.43
20,-2.73,13.43
21,-2.74,13.43
22,-2.73,13.43
23,-2.74,13.43
24,-2.74,13.43
25,-2.74,13.43
26,-2.74,13.43
27,-2.74,13.43
28,-2.75,13.43
29,-2.74,13.43
30,-2.75,13.43
31,-2.74,13.43
32,-2.74,13.43
33,-2.75,13.43
34,-2.75,13.43
35,-2.75,13.43
36,-2.75,13.43
37,-2.75,13.43
38,-2.75,13.43
39,-2.75,13.43
40,-2.75,13.43
41,-2.75,13.43
42,-2.75,13.43
43,-2.75,13.43
44,-2.75,13.43
45,-2.75,13.43
46,-2.75,13.43
47,-2.75,13.43
48,-2.75,13.43
49,-2.75,13.43
50,-2.76,13.43
51,-2.76,13.43
52,-2.75,13.43
53,-2.76,13.43
54,-2.76,13.43
55,-2.76,13.43
56,-2.77,13.43
57,-2.76,13.43
58,-2.76,13.43
59,-2.76,13.43
60,-2.77,13.43
61,-2.76,13.43
62,-2.77,13.43
63,-2.77,13.43
64,-2.77,13.43
65,-2.77,13.43
66,-2.77,13.43
67,-2.77,13.43
68,-2.77,13.43
69,-2.77,13.43
70,-2.77,13.43
71,-2.77,13.43
72,-2.77,13.43
73,-2.77,13.43
74,-2.78,13.43
75,-2.77,13.43
76,-2.77,13.43
77,-2.77,13.43
78,-2.77,13.43
79,-2.77,13.43
80,-2.77,13.43
81,-2.77,13.43
82,-2.77,13.43
83,-2.77,13.43
84,-2.77,13.43
85,-2.78,13.43
86,-2.78,13.43
87,-2.78,13.43
88,-2.78,13.43
89,-2.78,13.43
90,-2.78,13.43
91,-2.79,13.43
92,-2.79,13.43
93,-2.78,13.43
94,-2.79,13.43
95,-2.79,13.43
96,-2.78,13.43
97,-2.79,13.43
98,-2.79,13.43
99,-2.79,13.43
100,-2.79,13.43
101,-2.79,13.43
102,-2.79,13.43
103,-2.79,13.43
104,-2.79,13.43
105,-2.79,13.43
106,-2.79,13.43
107,-2.79,13.43
108,-2.79,13.43
109,-2.79,13.43
110,-2.8,13.43
111,-2.79,13.43
112,-2.79,13.43
113,-2.8,13.43
114,-2.8,13.43
115,-2.8,13.43
116,-2.8,13.43
117,-2.8,13.43
118,-2.8,13.43
119,-2.8,13.43
120,-2.8,13.43
121,-2.8,13.43
122,-2.8,13.43
123,-2.81,13.43
124,-2.8,13.43
125,-2.8,13.43
126,-2.81,13.43
127,-2.81,13.43
128,-2.81,13.43
129,-2.81,13.43
130,-2.81,13.43
131,-2.81,13.43
132,-2.81,13.43
133,-2.81,13.43
134,-2.81,13.43
135,-2.81,13.43
136,-2.81,13.43
137,-2.81,13.43
138,-2.81,13.43
139,-2.81,13.43
140,-2.81,13.43
141,-2.81,13.43
142,-2.81,13.43
143,-2.81,13.43
144,-2.81,13.43
145,-2.81,13.43
146,-2.81,13.43
147,-2.82,13.43
148,-2.82,13.43
149,-2.82,13.43
150,-2.82,13.43
151,-2.82,13.43
152,-2.82,13.43
153,-2.82,13.43
154,-2.82,13.43
155,-2.82,13.43
156,-2.83,13.43
157,-2.83,13.43
158,-2.83,13.43
159,-2.83,13.43
160,-2.83,13.43
161,-2.83,13.43
162,-2.83,13.43
163,-2.83,13.43
164,-2.83,13.43
165,-2.83,13.43
166,-2.83,13.43
167,-2.83,13.43
168,-2.83,13.43
169,-2.83,13.43
170,-2.83,13.43
171,-2.83,13.43
172,-2.83,13.43
173,-2.83,13.43
174,-2.83,13.43
175,-2.83,13.43
176,-2.83,13.43
177,-2.84,13.43
178,-2.83,13.43
179,-2.84,13.43
180,-2.84,13.43
181,-2.84,13.43
182,-2.84,13.43
183,-2.84,13.43
184,-2.84,13.43
185,-2.84,13.43
186,-2.84,13.43
187,-2.84,13.43
188,-2.84,13.43
189,-2.84,13.43
190,-2.84,13.43
191,-2.84,13.43
192,-2.84,13.43
193,-2.84,13.43
194,-2.84,13.43
195,-2.84,13.43
196,-2.84,13.43
197,-2.85,13.43
198,-2.84,13.43
199,-2.84,13.43
200,-2.84,13.43
201,-2.84,13.43
202,-2.84,13.43
203,-2.85,13.43
204,-2.85,13.43
205,-2.85,13.43
206,-2.85,13.43
207,-2.86,13.43
208,-2.86,13.43
209,-2.85,13.43
210,-2.86,13.43
211,-2.85,13.43
212,-2.85,13.43
213,-2.86,13.43
214,-2.86,13.43
215,-2.86,13.43
216,-2.86,13.43
217,-1.81,-5.75
218,-1.81,-5.75
219,-1.82,-5.75
220,-1.81,-5.76
221,-1.81,-5.76
222,-1.82,-5.76
223,-1.81,-5.76
224,-1.81,-5.77
225,-1.81,-5.77
226,-1.81,-5.77
227,-1.81,-5.77
228,-1.81,-5.77
229,-1.81,-5.77
230,-1.81,-5.77
231,-1.8,-5.77
232,-1.8,-5.77
233,-1.8,-5.77
234,-1.8,-5.76
235,-1.8,-5.76
236,-1.8,-5.76
237,-1.8,-5.77
238,-1.8,-5.77
239,-1.8,-5.76
240,-1.8,-5.77
241,-1.8,-5.77
242,-1.8,-5.77
243,-1.8,-5.77
244,-1.79,-5.77
245,-1.78,-5.78
246,-1.79,-5.78
247,-1.79,-5.78
248,-1.78,-5.78
249,-1.78,-5.78
250,-1.78,-5.78
251,-1.78,-5.78
252,-1.78,-5.79
253,-1.78,-5.79
254,-1.78,-5.79
255,-1.78,-5.79
256,-1.78,-5.79
257,-1.78,-5.79
258,-1.78,-5.79
259,-1.77,-5.79
260,-1.77,-5.79
261,-1.77,-5.8
262,-1.77,-5.8
263,-1.77,-5.8
264,-1.77,-5.8
265,-1.76,-5.8
266,-1.76,-5.8
267,-1.76,-5.81
268,-1.76,-5.81
269,-1.76,-5.81
270,-1.76,-5.81
271,-1.76,-5.81
272,-1.75,-5.81
273,-1.75,-5.81
274,-1.75,-5.81
275,-1.75,-5.81
276,-1.75,-5.81
277,-1.75,-5.81
278,-1.75,-5.82
279,-1.74,-5.81
280,-1.74,-5.81
281,-1.74,-5.81
282,-1.74,-5.81
283,-1.74,-5.81
284,-1.74,-5.81
285,-1.74,-5.81
286,-1.73,-5.82
287,-1.73,-5.82
288,-1.74,-5.82
289,-1.73,-5.82
290,-1.73,-5.83
291,-1.73,-5.83
292,-1.73,-5.83
293,-1.72,-5.84
294,-1.72,-5.84
295,-1.72,-5.84
296,-1.72,-5.84
297,-1.72,-5.84
298,-1.72,-5.84
299,-1.71,-5.84
300,-1.72,-5.84
301,-1.72,-5.84
302,-1.71,-5.84
303,-1.71,-5.84
304,-1.71,-5.84
305,-1.71,-5.84
306,-1.71,-5.85
307,-1.7,-5.85
308,-1.7,-5.84
309,-1.7,-5.84
310,-1.7,-5.84
311,-1.7,-5.84
312,-1.7,-5.84
313,-1.7,-5.84
314,-1.7,-5.84
315,-1.7,-5.85
316,-1.69,-5.85
317,-1.69,-5.85
318,-1.69,-5.85
319,-1.68,-5.84
320,-1.68,-5.85
321,-1.68,-5.85
322,-1.68,-5.85
323,-1.68,-5.85
324,-1.68,-5.85
325,-1.68,-5.85
326,-1.68,-5.85
327,-1.68,-5.86
328,-1.68,-5.85
329,-1.67,-5.86
330,-1.67,-5.86
331,-1.67,-5.86
332,-1.67,-5.86
333,-1.67,-5.86
334,-1.67,-5.86
335,-1.67,-5.87
336,-1.66,-5.87
337,-1.66,-5.87
338,-1.66,-5.87
339,-1.66,-5.87
340,-1.66,-5.87
341,-1.65,-5.87
