Sample,Courant,Pose
0,-3.33,0.03
1,-1.78,0.06
2,-1.73,0.09
3,-1.64,0.12
4,-1.55,0.14
5,-1.45,0.17
6,-1.33,0.2
7,-1.24,0.22
8,-1.14,0.25
9,-1.05,0.27
10,-0.97,0.29
11,-0.9,0.32
12,-0.82,0.34
13,-0.75,0.36
14,-0.71,0.38
15,-0.66,0.4
16,-0.61,0.43
17,-0.57,0.45
18,-0.54,0.48
19,-0.51,0.51
20,-0.48,0.54
21,-0.46,0.58
22,-0.43,0.63
23,-0.41,0.68
24,-0.4,0.74
25,-0.38,0.8
26,-0.37,0.87
27,-0.36,0.95
28,-0.34,1.03
29,-0.33,1.12
30,-0.32,1.21
31,-0.31,1.31
32,-0.3,1.41
33,-0.29,1.51
34,-0.28,1.61
35,-0.28,1.72
36,-0.26,1.83
37,-0.25,1.93
38,-0.25,2.04
39,-0.24,2.14
40,-0.23,2.24
41,-0.23,2.33
42,-0.22,2.43
43,-0.22,2.51
44,-0.21,2.59
45,-0.21,2.67
46,-0.2,2.73
47,-0.19,2.8
48,-0.19,2.85
49,-0.19,2.9
50,-0.19,2.93
51,-0.19,2.96
52,-0.19,2.99
53,-0.19,3.0
54,-0.19,3.02
55,-0.19,3.02
56,-0.19,3.02
57,-0.19,3.02
58,-0.2,3.01
59,-0.2,3.0
60,-0.2,2.99
61,-0.2,2.98
62,-0.2,2.97
63,-0.21,2.97
64,-0.21,2.96
65,-0.21,2.96
66,-0.21,2.96
67,-0.22,2.97
68,-0.22,2.98
69,-0.22,3.0
70,-0.22,3.02
71,-0.22,3.05
72,-0.22,3.08
73,-0.22,3.12
74,-0.22,3.16
75,-0.22,3.21
76,-0.22,3.26
77,-0.21,3.32
78,-0.21,3.38
79,-0.21,3.44
80,-0.21,3.51
81,-0.2,3.57
82,-0.2,3.64
83,-0.19,3.7
84,-0.19,3.77
85,-0.19,3.83
86,-0.19,3.89
87,-0.18,3.95
88,-0.18,4.01
89,-0.17,4.06
