Sample,Courant,Pose
0,-3.33,0.8
1,-1.74,1.52
2,-1.69,2.17
3,-1.63,2.75
4,-1.54,3.27
5,-1.45,3.74
6,-1.34,4.15
7,-1.25,4.53
8,-1.17,4.86
9,-1.09,5.17
10,-1.01,5.44
11,-0.94,5.68
12,-0.88,5.9
13,-0.82,6.1
14,-0.76,6.27
15,-0.71,6.43
16,-0.67,6.59
17,-0.63,6.74
18,-0.59,6.92
19,-0.56,7.11
20,-0.53,7.32
21,-0.51,7.56
22,-0.49,7.85
23,-0.47,8.16
24,-0.46,8.51
25,-0.45,8.89
26,-0.43,9.32
27,-0.42,9.76
28,-0.41,10.23
29,-0.39,10.73
30,-0.38,11.24
31,-0.38,11.77
32,-0.37,12.29
33,-0.36,12.81
34,-0.36,13.31
35,-0.35,13.78
36,-0.34,14.24
37,-0.34,14.66
38,-0.34,15.04
39,-0.34,15.38
40,-0.33,15.67
41,-0.33,15.9
42,-0.33,16.07
43,-0.33,16.19
44,-0.32,16.23
45,-0.32,16.21
46,-0.32,16.13
47,-0.33,15.98
48,-0.33,15.76
49,-0.33,15.48
50,-0.33,15.14
51,-0.34,14.76
52,-0.34,14.36
53,-0.34,13.92
54,-0.34,13.5
55,-0.35,13.07
56,-0.35,12.67
57,-0.35,12.3
58,-0.36,11.97
59,-0.36,11.69
60,-0.36,11.46
61,-0.36,11.29
62,-0.36,11.17
63,-0.36,11.12
64,-0.36,11.14
65,-0.36,11.21
66,-0.36,11.35
67,-0.35,11.54
68,-0.35,11.78
69,-0.34,12.06
70,-0.34,12.37
71,-0.34,12.71
72,-0.34,13.08
73,-0.34,13.45
74,-0.34,13.82
75,-0.34,14.18
76,-0.33,14.53
77,-0.32,14.86
78,-0.32,15.15
79,-0.32,15.41
80,-0.32,15.62
81,-0.32,15.79
82,-0.32,15.89
83,-0.32,15.94
84,-0.32,15.92
85,-0.32,15.84
86,-0.33,15.69
87,-0.34,15.49
88,-0.34,15.23
89,-0.34,14.92
90,-0.34,14.57
91,-0.34,14.2
92,-0.34,13.81
93,-0.35,13.41
94,-0.35,13.02
95,-0.36,12.65
96,-0.36,12.29
97,-0.36,11.97
98,-0.36,11.69
99,-0.36,11.46
100,-0.36,11.27
101,-0.37,11.14
102,-0.36,11.06
103,-0.36,11.04
104,-0.37,11.09
105,-0.37,11.19
106,-0.37,11.33
107,-0.37,11.53
108,-0.37,11.77
109,-0.36,12.05
110,-0.36,12.37
111,-0.36,12.7
112,-0.36,13.05
113,-0.36,13.41
114,-0.36,13.76
115,-0.36,14.1
116,-0.36,14.42
117,-0.36,14.71
118,-0.36,14.97
119,-0.35,15.19
120,-0.35,15.36
121,-0.36,15.48
122,-0.36,15.55
123,-0.36,15.56
124,-0.36,15.51
125,-0.36,15.41
126,-0.36,15.26
127,-0.36,15.06
128,-0.37,14.81
129,-0.37,14.51
130,-0.37,14.18
131,-0.37,13.84
132,-0.38,13.47
133,-0.38,13.11
134,-0.39,12.75
135,-0.39,12.41
136,-0.39,12.09
137,-0.39,11.8
138,-0.39,11.56
139,-0.39,11.36
140,-0.4,11.21
141,-0.4,11.12
142,-0.4,11.08
143,-0.4,11.1
144,-0.4,11.17
145,-0.41,11.28
146,-0.4,11.45
147,-0.4,11.66
148,-0.4,11.91
149,-0.4,12.18
150,-0.4,12.49
151,-0.4,12.81
152,-0.39,13.14
153,-0.4,13.47
154,-0.4,13.78
155,-0.39,14.09
156,-0.39,14.36
157,-0.39,14.61
158,-0.39,14.83
159,-0.39,15.0
160,-0.39,15.12
161,-0.39,15.2
162,-0.4,15.22
163,-0.4,15.19
164,-0.4,15.11
165,-0.41,14.98
166,-0.41,14.8
167,-0.41,14.58
168,-0.41,14.32
169,-0.42,14.02
170,-0.42,13.7
171,-0.42,13.37
172,-0.43,13.03
173,-0.43,12.69
174,-0.43,12.37
175,-0.43,12.07
176,-0.44,11.79
177,-0.44,11.55
