Sample,Courant,Pose
0,-3.33,0.98
1,1.85,1.88
2,1.74,2.68
3,1.61,3.42
4,1.46,4.08
5,1.3,4.67
6,1.14,5.2
7,0.99,5.66
8,0.85,6.05
9,0.72,6.38
10,0.6,6.64
11,0.49,6.84
12,0.39,6.97
13,0.31,7.04
14,0.22,7.03
15,0.14,6.97
16,0.08,6.85
17,0.03,6.7
18,-0.02,6.5
19,-0.06,6.27
20,-0.09,6.03
21,-0.12,5.76
22,-0.16,5.48
23,-0.17,5.18
24,-0.2,4.85
25,-0.22,4.47
26,-0.23,4.12
27,-0.24,3.81
28,-0.26,3.53
29,-0.26,3.28
30,-0.28,3.05
31,-0.28,2.84
32,-0.3,2.66
33,-0.3,2.49
34,-0.3,2.34
35,-0.3,2.21
36,-0.3,2.09
37,-0.3,2.04
38,-0.3,2.06
39,-0.3,2.12
40,-0.3,2.21
41,-0.3,2.32
42,-0.3,2.45
43,-0.28,2.6
44,-0.28,2.77
45,-0.27,2.95
46,-0.26,3.15
47,-0.26,3.36
48,-0.26,3.59
49,-0.26,3.83
50,-0.24,4.06
51,-0.24,4.28
52,-0.23,4.49
53,-0.22,4.69
54,-0.22,4.87
55,-0.22,5.02
56,-0.21,5.13
57,-0.21,5.2
58,-0.21,5.23
59,-0.2,5.23
60,-0.19,5.2
61,-0.19,5.13
62,-0.19,5.04
63,-0.19,4.93
64,-0.19,4.79
65,-0.19,4.63
66,-0.19,4.45
67,-0.19,4.26
68,-0.19,4.04
69,-0.19,3.79
70,-0.19,3.51
71,-0.19,3.26
72,-0.19,3.03
73,-0.2,2.83
74,-0.19,2.64
75,-0.2,2.48
76,-0.2,2.33
77,-0.2,2.2
78,-0.2,2.08
79,-0.2,1.97
80,-0.2,1.87
81,-0.21,1.79
82,-0.21,1.77
83,-0.19,1.8
84,-0.19,1.88
85,-0.19,1.99
86,-0.19,2.11
87,-0.19,2.25
88,-0.19,2.4
89,-0.19,2.57
90,-0.19,2.75
91,-0.17,2.94
92,-0.17,3.15
93,-0.17,3.36
94,-0.17,3.58
95,-0.16,3.8
96,-0.16,4.02
97,-0.15,4.23
98,-0.15,4.42
99,-0.14,4.59
100,-0.15,4.74
101,-0.14,4.87
102,-0.13,4.96
103,-0.13,5.02
104,-0.13,5.04
105,-0.13,5.04
106,-0.13,4.99
107,-0.13,4.92
108,-0.12,4.83
109,-0.13,4.73
110,-0.13,4.6
111,-0.13,4.46
112,-0.13,4.3
113,-0.13,4.12
114,-0.13,3.93
115,-0.13,3.71
116,-0.13,3.46
117,-0.13,3.21
118,-0.14,2.99
119,-0.14,2.79
120,-0.15,2.61
121,-0.15,2.45
122,-0.15,2.3
123,-0.15,2.17
124,-0.15,2.05
125,-0.15,1.95
126,-0.15,1.89
127,-0.15,1.88
128,-0.15,1.91
129,-0.15,1.97
130,-0.15,2.05
131,-0.15,2.16
132,-0.15,2.28
133,-0.15,2.41
134,-0.14,2.55
135,-0.14,2.71
136,-0.14,2.88
137,-0.14,3.06
138,-0.13,3.25
139,-0.13,3.44
140,-0.13,3.64
141,-0.13,3.84
142,-0.12,4.04
143,-0.12,4.22
144,-0.11,4.39
145,-0.11,4.54
146,-0.11,4.66
147,-0.11,4.77
148,-0.11,4.84
149,-0.1,4.89
150,-0.1,4.91
151,-0.1,4.9
152,-0.09,4.87
153,-0.1,4.8
154,-0.1,4.72
155,-0.1,4.62
156,-0.1,4.51
157,-0.1,4.38
158,-0.1,4.24
159,-0.11,4.08
160,-0.11,3.9
161,-0.11,3.71
162,-0.11,3.51
163,-0.11,3.28
164,-0.11,3.05
165,-0.11,2.85
166,-0.12,2.66
167,-0.12,2.5
168,-0.12,2.35
169,-0.13,2.21
170,-0.12,2.1
171,-0.13,2.03
172,-0.13,2.01
173,-0.13,2.02
174,-0.13,2.07
175,-0.13,2.13
176,-0.13,2.22
177,-0.13,2.32
178,-0.12,2.44
179,-0.12,2.56
180,-0.12,2.7
181,-0.12,2.85
182,-0.11,3.01
183,-0.11,3.17
184,-0.11,3.34
185,-0.11,3.52
186,-0.1,3.7
187,-0.1,3.88
188,-0.1,4.05
189,-0.09,4.21
190,-0.09,4.37
191,-0.09,4.5
192,-0.09,4.61
193,-0.09,4.7
194,-0.09,4.77
195,-0.08,4.81
196,-0.08,4.82
197,-0.08,4.81
198,-0.08,4.77
199,-0.08,4.71
200,-0.08,4.63
201,-0.08,4.54
202,-0.08,4.43
203,-0.08,4.32
204,-0.08,4.19
205,-0.09,4.05
206,-0.09,3.9
207,-0.09,3.73
208,-0.09,3.55
209,-0.09,3.37
210,-0.09,3.18
211,-0.09,2.99
212,-0.09,2.81
213,-0.1,2.66
214,-0.1,2.52
215,-0.1,2.42
216,-0.11,2.34
217,-0.11,2.3
218,-0.11,2.29
219,-0.11,2.31
220,-0.11,2.34
221,-0.11,2.4
222,-0.1,2.48
223,-0.11,2.56
224,-0.1,2.66
225,-0.1,2.77
226,-0.1,2.89
227,-0.09,3.03
228,-0.09,3.17
229,-0.09,3.32
230,-0.09,3.47
231,-0.09,3.63
232,-0.08,3.79
233,-0.08,3.95
234,-0.08,4.1
235,-0.07,4.24
236,-0.07,4.37
237,-0.07,4.49
238,-0.07,4.58
239,-0.07,4.66
240,-0.06,4.71
241,-0.07,4.74
