Sample,Pose,Courant
289,5.39,-0.02
290,5.39,-0.02
291,5.39,-0.02
292,5.39,-0.02
293,5.39,-0.02
294,5.39,-0.03
295,5.39,-0.03
296,5.39,-0.02
297,5.39,-0.02
298,5.39,-0.02
299,5.39,-0.02
300,5.39,-0.02
301,5.39,-0.03
302,5.39,-0.02
303,5.39,-0.02
304,5.39,-0.02
305,5.39,-0.02
306,5.39,-0.02
307,5.39,-0.02
308,5.39,-0.02
309,5.39,-0.02
310,5.39,-0.02
311,5.39,-0.02
312,5.39,-0.03
313,5.39,-0.02
314,5.39,-0.02
315,5.39,-0.02
316,5.39,-0.02
317,5.39,-0.02
318,5.39,-0.02
319,5.39,-0.02
320,5.39,-0.02
321,5.39,-0.02
322,5.39,-0.02
323,5.39,-0.02
324,5.39,-0.02
325,5.39,-0.02
326,5.39,-0.03
327,5.39,-0.02
328,5.39,-0.03
329,5.39,-0.02
330,5.39,-0.02
331,5.39,-0.02
332,5.39,-0.02
333,5.39,-0.02
334,5.39,-0.02
335,5.4,-0.02
336,5.4,-0.02
337,5.4,-0.02
338,5.4,-0.03
339,5.4,-0.02
340,5.4,-0.02
341,5.4,-0.02
342,5.4,-0.02
343,5.4,-0.03
344,5.4,-0.02
345,5.4,-0.03
346,5.4,-0.03
347,5.4,-0.02
348,5.4,-0.02
349,5.4,-0.02
350,5.4,-0.03
351,5.4,-0.03
352,5.4,-0.03
353,5.4,-0.02
354,5.4,-0.02
355,5.4,-0.03
356,5.4,-0.02
357,5.4,-0.02
358,5.4,-0.02
359,5.4,-0.03
360,5.4,-0.02
361,5.4,-0.02
362,5.4,-0.02
363,5.4,-0.02
364,5.4,-0.03
365,5.4,-0.02
366,5.4,-0.02
367,5.4,-0.02
368,5.4,-0.02
369,5.4,-0.02
370,5.4,-0.02
371,5.4,-0.03
372,5.4,-0.02
373,5.4,-0.02
374,5.4,-0.02
375,5.4,-0.03
376,5.4,-0.03
377,5.4,-0.02
378,5.4,-0.02
379,5.4,-0.02
380,5.4,-0.02
381,5.4,-0.02
382,5.4,-0.02
383,5.4,-0.02
384,5.4,-0.02
385,5.4,-0.02
386,5.4,-0.02
387,5.4,-0.03
388,5.4,-0.03
389,5.4,-0.02
390,5.4,-0.02
391,5.4,-0.02
392,5.4,-0.02
393,5.4,-0.03
394,5.4,-0.02
395,5.4,-0.02
396,5.4,-0.02
397,5.4,-0.02
398,5.4,-0.02
399,5.4,-0.02
400,5.4,-0.02
401,5.4,-0.02
402,5.4,-0.02
403,5.4,-0.02
404,5.4,-0.02
405,5.4,-0.02
406,5.4,-0.02
407,5.4,-0.03
408,5.4,-0.02
409,5.4,-0.02
410,5.4,-0.02
411,5.4,-0.02
412,5.4,-0.02
413,5.4,-0.02
414,5.4,-0.02
415,5.4,-0.02
416,5.4,-0.02
417,5.4,-0.02
418,5.4,-0.02
419,5.4,-0.02
420,5.4,-0.02
421,5.4,-0.02
422,5.4,-0.02
423,5.4,-0.02
424,5.4,-0.02
425,5.4,-0.02
426,5.4,-0.02
427,5.4,-0.02
428,5.4,-0.02
429,5.4,-0.02
430,5.4,-0.02
431,5.4,-0.02
432,5.4,-0.02
433,5.4,-0.02
434,5.4,-0.02
435,5.4,-0.02
436,5.4,-0.02
437,5.4,-0.02
438,5.4,-0.02
439,5.4,-0.02
440,5.4,-0.02
441,5.4,-0.02
442,5.4,-0.02
443,5.4,-0.02
444,5.4,-0.02
445,5.4,-0.02
446,5.4,-0.02
447,5.4,-0.02
448,5.4,-0.02
449,5.4,-0.02
450,5.4,-0.02
451,5.4,-0.02
452,5.4,-0.02
453,5.4,-0.02
454,5.4,-0.02
455,5.4,-0.02
456,5.4,-0.02
457,5.4,-0.02
458,5.4,-0.02
459,5.4,-0.02
460,5.4,-0.02
461,5.4,-0.02
462,5.4,-0.02
463,5.4,-0.02
464,5.4,-0.02
465,5.4,-0.02
466,5.4,-0.02
467,5.4,-0.02
468,5.4,-0.02
469,5.4,-0.02
470,5.4,-0.02
471,5.4,-0.02
472,5.4,-0.02
473,5.4,-0.02
474,5.4,-0.02
475,5.4,-0.02
476,5.4,-0.02
477,5.4,-0.02
478,5.4,-0.02
479,5.4,-0.02
480,5.4,-0.02
481,5.4,-0.02
482,5.4,-0.02
483,5.4,-0.02
484,5.4,-0.02
485,5.4,-0.02
486,5.4,-0.02
487,5.4,-0.02
488,5.4,-0.02
489,5.4,-0.02
490,5.4,-0.02
491,5.4,-0.02
492,5.4,-0.02
493,5.4,-0.02
494,5.4,-0.02
495,5.4,-0.02
496,5.4,-0.02
497,5.4,-0.02
498,5.4,-0.02
499,5.4,-0.02
500,5.4,-0.02
501,5.4,-0.02
502,5.4,-0.02
503,5.4,-0.02
504,5.4,-0.02
505,5.4,-0.02
506,5.4,-0.02
507,5.4,-0.02
508,5.4,-0.02
509,5.4,-0.02
510,5.4,-0.02
511,5.41,-0.02
512,5.41,-0.02
513,5.41,-0.02
514,5.41,-0.02
515,5.41,-0.02
516,5.41,-0.02
517,5.41,-0.02
518,5.41,-0.02
519,5.41,-0.02
520,5.41,-0.02
521,5.41,-0.02
522,5.41,-0.02
523,5.41,-0.02
524,5.41,-0.02
525,5.41,-0.02
526,5.41,-0.02
527,5.41,-0.02
528,5.41,-0.02
529,5.41,-0.02
530,5.41,-0.02
531,5.41,-0.02
532,5.41,-0.02
533,5.41,-0.02
534,5.41,-0.02
535,5.41,-0.02
536,5.41,-0.02
537,5.41,-0.02
538,5.41,-0.02
539,5.41,-0.02
540,5.41,-0.02
541,5.41,-0.02
542,5.41,-0.02
543,5.41,-0.02
544,5.41,-0.02
545,5.41,-0.02
546,5.41,-0.02
547,5.41,-0.02
548,5.41,-0.02
549,5.41,-0.02
550,5.41,-0.02
551,5.41,-0.02
552,5.41,-0.02
553,5.41,-0.02
554,5.41,-0.02
555,5.41,-0.02
556,5.41,-0.02
557,5.41,-0.02
558,5.41,-0.02
559,5.41,-0.02
560,5.41,-0.02
561,5.41,-0.02
562,5.41,-0.02
563,5.41,-0.02
564,5.41,-0.02
565,5.41,-0.02
566,5.41,-0.02
567,5.41,-0.02
568,5.41,-0.02
569,5.41,-0.02
570,5.41,-0.02
571,5.41,-0.02
572,5.41,-0.02
573,5.41,-0.02
574,5.41,-0.02
575,5.41,-0.02
576,5.41,-0.02
577,5.41,-0.02
578,5.41,-0.02
579,5.41,-0.02
580,5.41,-0.02
581,5.41,-0.02
582,5.41,-0.02
583,5.41,-0.02
584,5.41,-0.02
585,5.41,-0.02
586,5.41,-0.02
587,5.41,-0.02
588,5.41,-0.02
589,5.41,-0.02
590,5.41,-0.02
591,5.41,-0.02
592,5.41,-0.02
593,5.41,-0.02
594,5.41,-0.02
595,5.41,-0.02
596,5.41,-0.02
597,5.41,-0.02
598,5.41,-0.02
599,5.41,-0.02
600,5.41,-0.02
601,5.41,-0.02
602,5.41,-0.02
603,5.41,-0.02
604,5.41,-0.02
605,5.41,-0.02
606,5.41,-0.02
607,5.41,-0.02
608,5.41,-0.02
609,5.41,-0.02
610,5.41,-0.02
611,5.41,-0.02
612,5.41,-0.02
613,5.41,-0.02
614,5.41,-0.02
615,5.41,-0.02
616,5.41,-0.02
617,5.41,-0.02
618,5.41,-0.02
619,5.41,-0.02
620,5.41,-0.02
621,5.41,-0.02
622,5.41,-0.02
623,5.41,-0.02
624,5.41,-0.02
625,5.41,-0.02
626,5.41,-0.02
627,5.41,-0.02
628,5.41,-0.02
629,5.41,-0.02
630,5.41,-0.02
631,5.41,-0.02
632,5.41,-0.02
633,5.41,-0.02
634,5.41,-0.02
635,5.41,-0.02
636,5.41,-0.02
637,5.41,-0.02
638,5.41,-0.02
639,5.41,-0.02
640,5.41,-0.02
641,5.41,-0.02
642,5.41,-0.02
643,5.41,-0.02
644,5.41,-0.02
645,5.41,-0.02
646,5.41,-0.02
647,5.41,-0.02
648,5.41,-0.02
649,5.41,-0.02
650,5.41,-0.02
651,5.41,-0.02
652,5.41,-0.02
653,5.41,-0.02
654,5.41,-0.02
655,5.41,-0.02
656,5.41,-0.02
657,5.41,-0.02
658,5.41,-0.02
659,5.41,-0.02
660,5.41,-0.02
661,5.41,-0.02
662,5.41,-0.02
663,5.41,-0.02
664,5.41,-0.02
665,5.41,-0.02
666,5.41,-0.02
667,5.41,-0.02
668,5.41,-0.02
669,5.41,-0.02
670,5.41,-0.02
671,5.41,-0.02
672,5.41,-0.02
673,5.41,-0.02
674,5.41,-0.02
675,5.41,-0.02
676,5.41,-0.02
677,5.41,-0.02
678,5.41,-0.02
679,5.41,-0.02
680,5.41,-0.02
681,5.41,-0.02
682,5.41,-0.02
683,5.41,-0.02
684,5.41,-0.02
685,5.41,-0.02
686,5.41,-0.02
687,5.41,-0.02
688,5.41,-0.02
689,5.41,-0.02
690,5.41,-0.02
691,5.41,-0.02
692,5.41,-0.02
693,5.41,-0.02
694,5.41,-0.02
695,5.41,-0.02
696,5.41,-0.02
697,5.41,-0.02
698,5.41,-0.02
699,5.41,-0.02
700,5.41,-0.02
701,5.41,-0.02
702,5.41,-0.02
703,5.41,-0.02
704,5.41,-0.02
705,5.41,-0.02
706,5.41,-0.02
707,5.41,-0.02
708,5.41,-0.02
709,5.41,-0.02
710,5.41,-0.02
711,5.41,-0.02
712,5.41,-0.02
713,5.41,-0.02
714,5.41,-0.02
715,5.41,-0.02
716,5.41,-0.02
717,5.41,-0.02
718,5.41,-0.02
719,5.41,-0.02
720,5.41,-0.02
721,5.41,-0.02
722,5.41,-0.02
723,5.41,-0.02
724,5.41,-0.02
725,5.41,-0.02
726,5.41,-0.02
727,5.41,-0.02
728,5.41,-0.02
729,5.41,-0.02
730,5.41,-0.02
731,5.41,-0.02
732,5.41,-0.02
733,5.41,-0.02
734,5.41,-0.02
735,5.41,-0.02
736,5.41,-0.02
737,5.41,-0.02
738,5.41,-0.02
739,5.41,-0.02
740,5.41,-0.02
741,5.41,-0.02
742,5.41,-0.02
743,5.41,-0.02
744,5.41,-0.02
745,5.41,-0.02
746,5.41,-0.02
747,5.41,-0.02
748,5.41,-0.02
749,5.41,-0.02
750,5.41,-0.02
751,5.41,-0.02
752,5.41,-0.02
753,5.41,-0.02
754,5.41,-0.02
755,5.41,-0.02
756,5.41,-0.02
757,5.41,-0.02
758,5.41,-0.02
759,5.41,-0.02
760,5.41,-0.02
761,5.41,-0.02
762,5.41,-0.02
763,5.41,-0.02
764,5.41,-0.02
765,5.41,-0.02
766,5.41,-0.02
767,5.41,-0.02
768,5.41,-0.02
769,5.41,-0.02
770,5.41,-0.02
771,5.41,-0.02
772,5.41,-0.02
773,5.41,-0.02
774,5.41,-0.02
775,5.41,-0.02
776,5.41,-0.02
777,5.41,-0.02
778,5.41,-0.02
779,5.41,-0.02
780,5.41,-0.02
781,5.41,-0.02
782,5.41,-0.02
783,5.41,-0.02
784,5.41,-0.02
785,5.41,-0.02
786,5.41,-0.02
787,5.41,-0.02
788,5.41,-0.02
789,5.41,-0.02
790,5.41,-0.02
791,5.41,-0.02
792,5.41,-0.02
793,5.41,-0.02
794,5.41,-0.02
795,5.41,-0.02
796,5.41,-0.02
797,5.41,-0.02
798,5.41,-0.02
799,5.41,-0.02
800,5.41,-0.02
801,5.41,-0.02
802,5.41,-0.02
803,5.41,-0.02
804,5.41,-0.02
805,5.41,-0.02
806,5.41,-0.02
807,5.41,-0.02
808,5.41,-0.02
809,5.41,-0.02
810,5.41,-0.02
811,5.41,-0.02
812,5.41,-0.02
813,5.41,-0.02
814,5.41,-0.02
815,5.41,-0.02
816,5.41,-0.02
817,5.41,-0.02
818,5.41,-0.02
819,5.41,-0.02
820,5.41,-0.02
821,5.41,-0.02
822,5.41,-0.02
823,5.41,-0.02
824,5.41,-0.02
825,5.41,-0.02
826,5.41,-0.02
827,5.41,-0.02
828,5.41,-0.02
829,5.41,-0.02
830,5.41,-0.02
831,5.41,-0.02
832,5.41,-0.02
833,5.41,-0.02
834,5.41,-0.02
835,5.41,-0.02
836,5.41,-0.02
837,5.41,-0.02
838,5.41,-0.02
839,5.41,-0.02
840,5.41,-0.02
841,5.41,-0.02
842,5.41,-0.02
843,5.41,-0.02
844,5.41,-0.02
845,5.41,-0.02
846,5.41,-0.02
847,5.41,-0.02
848,5.41,-0.02
849,5.41,-0.02
850,5.41,-0.02
851,5.41,-0.02
852,5.41,-0.02
853,5.41,-0.02
854,5.41,-0.02
855,5.41,-0.02
856,5.41,-0.02
857,5.41,-0.02
858,5.41,-0.02
859,5.41,-0.02
860,5.41,-0.02
861,5.41,-0.02
862,5.41,-0.02
863,5.41,-0.02
864,5.41,-0.02
865,5.41,-0.02
866,5.41,-0.02
867,5.41,-0.02
868,5.41,-0.02
869,5.41,-0.02
870,5.41,-0.02
871,5.41,-0.02
872,5.41,-0.02
873,5.41,-0.02
874,5.41,-0.02
875,5.41,-0.02
876,5.41,-0.02
877,5.41,-0.02
878,5.41,-0.02
879,5.41,-0.02
880,5.41,-0.02
881,5.41,-0.02
882,5.41,-0.02
883,5.41,-0.02
884,5.41,-0.02
885,5.41,-0.02
886,5.41,-0.02
887,5.41,-0.02
888,5.41,-0.02
889,5.41,-0.02
890,5.41,-0.02
891,5.41,-0.02
892,5.41,-0.02
893,5.41,-0.02
894,5.41,-0.02
895,5.41,-0.02
896,5.41,-0.02
897,5.41,-0.02
898,5.41,-0.02
899,5.41,-0.02
900,5.41,-0.02
901,5.41,-0.02
902,5.41,-0.02
903,5.41,-0.02
904,5.41,-0.02
905,5.41,-0.02
906,5.41,-0.02
907,5.41,-0.02
908,5.41,-0.02
909,5.41,-0.02
910,5.41,-0.02
911,5.41,-0.02
912,5.41,-0.02
913,5.41,-0.02
914,5.41,-0.02
915,5.41,-0.02
916,5.41,-0.02
917,5.41,-0.02
918,5.41,-0.02
919,5.41,-0.02
920,5.41,-0.02
921,5.41,-0.02
922,5.41,-0.02
923,5.41,-0.02
924,5.41,-0.02
925,5.41,-0.02
926,5.41,-0.02
927,5.41,-0.02
928,5.41,-0.02
929,5.41,-0.02
930,5.41,-0.02
931,5.41,-0.02
932,5.41,-0.02
933,5.41,-0.02
934,5.41,-0.02
935,5.41,-0.02
936,5.41,-0.02
937,5.41,-0.02
938,5.41,-0.02
939,5.41,-0.02
940,5.41,-0.02
941,5.41,-0.02
942,5.41,-0.02
943,5.41,-0.02
944,5.41,-0.02
945,5.41,-0.02
946,5.41,-0.02
947,5.41,-0.02
948,5.41,-0.02
949,5.41,-0.02
950,5.41,-0.02
951,5.41,-0.02
952,5.41,-0.02
953,5.41,-0.02
954,5.41,-0.02
955,5.41,-0.02
956,5.41,-0.02
957,5.41,-0.02
958,5.41,-0.02
959,5.41,-0.02
960,5.41,-0.02
961,5.41,-0.02
962,5.41,-0.02
963,5.41,-0.02
964,5.41,-0.02
965,5.41,-0.02
966,5.41,-0.02
967,5.41,-0.02
968,5.41,-0.02
969,5.41,-0.02
970,5.41,-0.02
971,5.41,-0.02
972,5.41,-0.02
973,5.41,-0.02
974,5.41,-0.02
975,5.41,-0.02
976,5.41,-0.02
977,5.41,-0.02
978,5.41,-0.02
979,5.41,-0.02
980,5.41,-0.02
981,5.41,-0.02
982,5.41,-0.02
983,5.41,-0.02
984,5.41,-0.02
985,5.41,-0.02
986,5.41,-0.02
987,5.41,-0.02
988,5.41,-0.02
989,5.41,-0.02
990,5.41,-0.02
991,5.41,-0.02
992,5.41,-0.02
993,5.41,-0.02
994,5.41,-0.02
995,5.41,-0.02
996,5.41,-0.02
997,5.41,-0.02
998,5.41,-0.02
999,5.41,-0.02
1000,5.41,-0.02
1001,5.41,-0.02
1002,5.41,-0.02
1003,5.4,-0.01
1004,5.4,-0.02
1005,5.39,-0.01
1006,5.38,-0.01
1007,5.37,-0.0
1008,5.36,-0.01
1009,5.35,-0.01
1010,5.34,-0.01
1011,5.32,-0.01
1012,5.3,-0.02
1013,5.28,-0.02
1014,5.26,-0.01
1015,5.24,-0.02
1016,5.22,-0.01
1017,5.2,-0.01
1018,5.18,-0.02
1019,5.16,-0.02
1020,5.14,-0.02
1021,5.11,-0.02
1022,5.09,-0.02
1023,5.07,-0.02
1024,5.05,-0.02
1025,5.03,-0.02
1026,5.01,-0.02
1027,5.0,-0.02
1028,4.98,-0.02
1029,4.97,-0.02
1030,4.95,-0.02
1031,4.94,-0.02
1032,4.93,-0.02
1033,4.92,-0.02
1034,4.91,-0.01
1035,4.9,-0.02
1036,4.89,-0.02
1037,4.89,-0.01
1038,4.88,-0.01
1039,4.87,-0.01
1040,4.87,-0.01
1041,4.87,-0.01
1042,4.86,-0.01
1043,4.86,-0.01
1044,4.85,-0.01
1045,4.85,-0.0
1046,4.85,-0.0
1047,4.84,-0.0
1048,4.83,-0.0
