Sample,Courant,Pose
0,1.54,8.57
1,1.54,8.57
2,1.54,8.57
3,1.54,8.57
4,1.54,8.57
5,1.54,8.57
6,1.54,8.57
7,1.54,8.57
8,1.54,8.57
9,1.54,8.57
10,1.54,8.57
11,1.54,8.57
12,1.55,8.57
13,1.54,8.57
14,1.54,8.57
15,1.54,8.57
16,1.54,8.57
17,1.54,8.57
18,1.54,8.57
19,1.54,8.57
20,1.54,8.57
21,1.54,8.57
22,1.54,8.57
23,1.54,8.57
24,1.54,8.57
25,1.54,8.57
26,1.54,8.57
27,1.54,8.57
28,1.54,8.57
29,1.54,8.57
30,1.54,8.57
31,1.54,8.57
32,1.54,8.57
33,1.54,8.57
34,1.54,8.57
35,1.54,8.57
36,1.54,8.57
37,1.54,8.57
38,1.54,8.57
39,1.54,8.57
40,1.54,8.57
41,1.54,8.57
42,1.54,8.57
43,1.54,8.57
44,1.53,8.57
45,1.54,8.57
46,1.54,8.57
47,1.55,8.57
48,1.54,8.57
49,1.54,8.57
50,1.54,8.57
51,1.54,8.57
52,1.54,8.57
53,1.54,8.57
54,1.54,8.57
55,1.54,8.57
56,1.54,8.57
57,1.54,8.57
58,1.54,8.57
59,1.54,8.57
60,1.54,8.57
61,1.54,8.57
62,1.54,8.57
63,1.54,8.57
64,1.54,8.57
65,1.54,8.57
66,1.54,8.57
67,1.54,8.57
68,1.54,8.57
69,1.54,8.57
70,1.54,8.57
71,1.54,8.57
72,1.54,8.57
73,1.54,8.57
74,1.54,8.57
75,1.54,8.57
76,1.54,8.57
77,1.54,8.57
78,1.54,8.57
79,1.54,8.57
80,1.54,8.57
81,1.54,8.57
82,1.54,8.57
83,1.54,8.57
84,1.54,8.57
85,1.54,8.57
86,1.54,8.57
87,1.54,8.57
88,1.54,8.57
89,1.54,8.57
90,1.54,8.57
91,1.55,8.57
92,1.53,8.57
93,1.54,8.57
94,1.54,8.57
95,1.54,8.57
96,1.54,8.57
97,1.54,8.57
98,1.54,8.57
99,1.54,8.57
100,1.54,8.57
101,1.54,8.57
102,1.54,8.57
103,1.54,8.57
104,1.54,8.57
105,1.54,8.57
106,1.54,8.57
107,1.54,8.57
108,1.54,8.57
109,1.54,8.57
110,1.54,8.57
111,1.54,8.57
112,1.54,8.57
113,1.54,8.57
114,1.54,8.57
115,1.54,8.57
116,1.54,8.57
117,1.54,8.57
118,1.54,8.57
119,1.54,8.57
120,1.54,8.57
121,1.54,8.57
122,1.54,8.57
123,1.54,8.57
124,1.54,8.57
125,1.54,8.57
126,1.54,8.57
127,1.54,8.57
128,1.54,8.57
129,1.54,8.57
130,1.54,8.57
131,1.54,8.57
132,1.54,8.57
133,1.54,8.57
134,1.54,8.57
135,1.54,8.57
136,1.54,8.57
137,1.54,8.57
138,1.54,8.57
139,1.54,8.57
140,1.54,8.57
141,1.54,8.57
142,1.54,8.57
143,1.54,8.57
144,1.54,8.57
145,1.54,8.57
146,1.54,8.57
147,1.54,8.57
148,1.54,8.57
149,1.53,8.57
150,1.54,8.57
151,1.54,8.57
152,1.54,8.57
153,1.54,8.57
154,1.53,8.57
155,1.54,8.57
156,1.54,8.57
157,1.54,8.57
158,1.54,8.57
159,1.54,8.57
160,1.54,8.57
161,1.54,8.58
162,1.54,8.58
163,1.54,8.57
164,1.54,8.57
165,1.54,8.57
166,1.54,8.57
167,1.54,8.57
168,1.54,8.57
169,1.54,8.57
170,1.54,8.57
171,1.54,8.57
172,1.54,8.57
173,1.53,8.57
174,1.54,8.57
175,1.54,8.57
176,1.54,8.57
177,1.54,8.57
178,1.54,8.57
179,1.54,8.57
180,1.54,8.57
181,1.54,8.57
182,1.54,8.57
183,1.54,8.57
184,1.54,8.57
185,1.54,8.57
186,1.54,8.57
187,1.54,8.57
188,1.54,8.57
189,1.54,8.57
190,1.54,8.57
191,1.54,8.57
192,1.54,8.57
193,1.54,8.57
194,1.54,8.57
195,1.54,8.57
196,1.54,8.57
197,1.54,8.57
198,1.54,8.57
199,1.54,8.57
200,1.54,8.57
201,1.54,8.57
202,1.54,8.57
203,1.54,8.57
204,1.54,8.57
205,1.54,8.57
206,1.55,8.57
207,1.54,8.57
208,1.54,8.57
209,1.54,8.57
210,1.55,8.57
211,1.54,8.57
212,1.54,8.57
213,1.54,8.57
214,1.54,8.57
215,1.54,8.57
216,1.54,8.57
217,1.54,8.57
218,1.54,8.57
219,1.54,8.57
220,1.54,8.57
221,1.54,8.57
222,1.54,8.57
223,1.54,8.57
224,1.53,8.57
225,1.53,8.57
226,1.53,8.57
227,1.53,8.57
228,1.53,8.57
229,1.53,8.57
230,1.53,8.57
231,1.53,8.57
232,1.53,8.57
233,1.53,8.57
