Sample,Courant,Pose
0,-3.33,0.14
1,-1.75,0.26
2,-1.71,0.36
3,-1.64,0.45
4,-1.55,0.53
5,-1.46,0.6
6,-1.37,0.66
7,-1.27,0.71
8,-1.17,0.75
9,-1.09,0.79
10,-1.01,0.82
11,-0.94,0.85
12,-0.86,0.87
13,-0.8,0.89
14,-0.75,0.91
15,-0.7,0.93
16,-0.65,0.97
17,-0.61,1.04
18,-0.57,1.14
19,-0.54,1.26
20,-0.5,1.41
21,-0.47,1.58
22,-0.45,1.76
23,-0.43,1.96
24,-0.41,2.18
25,-0.39,2.42
26,-0.37,2.72
27,-0.36,3.05
28,-0.34,3.43
29,-0.33,3.87
30,-0.32,4.36
31,-0.3,4.9
32,-0.3,5.49
33,-0.29,6.12
34,-0.28,6.77
35,-0.27,7.42
36,-0.26,8.09
37,-0.25,8.74
38,-0.24,9.35
39,-0.24,9.91
40,-0.24,10.41
41,-0.24,10.82
42,-0.24,11.14
43,-0.24,11.35
44,-0.23,11.46
45,-0.23,11.45
46,-0.23,11.34
47,-0.23,11.15
48,-0.24,10.85
49,-0.24,10.48
50,-0.24,10.05
51,-0.24,9.58
52,-0.24,9.1
53,-0.24,8.62
54,-0.24,8.14
55,-0.24,7.68
56,-0.24,7.24
57,-0.25,6.82
58,-0.25,6.41
59,-0.24,6.04
60,-0.25,5.69
61,-0.25,5.39
62,-0.25,5.12
63,-0.25,4.89
64,-0.25,4.7
65,-0.25,4.55
66,-0.24,4.43
67,-0.24,4.37
68,-0.24,4.34
69,-0.24,4.35
70,-0.24,4.41
71,-0.24,4.53
72,-0.23,4.69
73,-0.23,4.92
74,-0.22,5.22
75,-0.22,5.58
76,-0.21,5.99
77,-0.21,6.45
78,-0.21,6.95
79,-0.21,7.48
80,-0.21,8.01
81,-0.21,8.54
82,-0.2,9.06
83,-0.19,9.55
84,-0.19,10.0
85,-0.19,10.38
86,-0.19,10.69
87,-0.19,10.9
88,-0.19,11.0
89,-0.19,11.01
90,-0.19,10.92
91,-0.19,10.73
92,-0.19,10.44
93,-0.2,10.1
94,-0.21,9.7
95,-0.21,9.26
96,-0.21,8.81
97,-0.21,8.35
98,-0.21,7.9
99,-0.21,7.47
100,-0.22,7.05
101,-0.22,6.66
102,-0.22,6.28
103,-0.22,5.94
104,-0.22,5.62
105,-0.22,5.34
106,-0.22,5.1
107,-0.22,4.9
108,-0.22,4.73
109,-0.22,4.6
110,-0.22,4.5
111,-0.22,4.45
112,-0.22,4.43
113,-0.22,4.45
114,-0.22,4.53
115,-0.21,4.66
116,-0.21,4.84
117,-0.21,5.08
118,-0.21,5.37
119,-0.21,5.72
120,-0.2,6.13
121,-0.2,6.57
122,-0.2,7.06
123,-0.19,7.57
124,-0.19,8.08
125,-0.19,8.58
126,-0.19,9.06
127,-0.19,9.49
128,-0.19,9.87
129,-0.18,10.18
130,-0.19,10.4
131,-0.19,10.54
132,-0.19,10.57
133,-0.19,10.52
134,-0.19,10.37
135,-0.19,10.13
136,-0.19,9.84
137,-0.2,9.49
138,-0.2,9.1
139,-0.21,8.68
140,-0.21,8.26
141,-0.21,7.84
142,-0.21,7.43
143,-0.21,7.04
144,-0.22,6.67
145,-0.21,6.32
146,-0.22,5.99
147,-0.22,5.69
148,-0.22,5.42
149,-0.22,5.18
150,-0.22,4.98
151,-0.22,4.82
152,-0.22,4.69
153,-0.22,4.59
154,-0.22,4.53
155,-0.22,4.51
156,-0.22,4.53
157,-0.22,4.59
158,-0.22,4.69
159,-0.21,4.86
160,-0.21,5.08
161,-0.21,5.35
162,-0.21,5.67
163,-0.2,6.05
164,-0.2,6.46
165,-0.2,6.91
166,-0.19,7.38
167,-0.19,7.86
168,-0.19,8.33
