Sample,Courant,Pose
0,-3.33,0.14
1,-1.76,0.26
2,-1.7,0.36
3,-1.63,0.45
4,-1.55,0.53
5,-1.45,0.6
6,-1.36,0.66
7,-1.26,0.71
8,-1.14,0.75
9,-1.06,0.78
10,-0.97,0.82
11,-0.9,0.84
12,-0.82,0.87
13,-0.77,0.89
14,-0.71,0.9
15,-0.65,0.94
16,-0.6,1.0
17,-0.56,1.09
18,-0.52,1.2
19,-0.48,1.34
20,-0.45,1.5
21,-0.42,1.68
22,-0.39,1.88
23,-0.37,2.1
24,-0.36,2.34
25,-0.34,2.61
26,-0.32,2.94
27,-0.3,3.32
28,-0.29,3.76
29,-0.27,4.25
30,-0.26,4.81
31,-0.26,5.42
32,-0.25,6.08
33,-0.24,6.76
34,-0.24,7.46
35,-0.24,8.18
36,-0.23,8.88
37,-0.23,9.55
38,-0.23,10.17
39,-0.23,10.72
40,-0.24,11.19
41,-0.24,11.56
42,-0.25,11.83
43,-0.25,11.96
44,-0.26,11.98
45,-0.26,11.9
46,-0.27,11.69
47,-0.28,11.38
48,-0.28,10.99
49,-0.29,10.54
50,-0.29,10.03
51,-0.3,9.5
52,-0.3,8.97
53,-0.3,8.45
54,-0.3,7.95
55,-0.31,7.45
56,-0.3,6.97
57,-0.3,6.52
58,-0.3,6.1
59,-0.3,5.72
60,-0.3,5.38
61,-0.3,5.09
62,-0.3,4.84
63,-0.3,4.64
64,-0.29,4.48
65,-0.28,4.37
66,-0.28,4.3
67,-0.27,4.27
68,-0.26,4.29
69,-0.26,4.36
70,-0.26,4.48
71,-0.25,4.66
72,-0.24,4.92
73,-0.23,5.24
74,-0.22,5.63
75,-0.22,6.08
76,-0.22,6.58
77,-0.22,7.12
78,-0.21,7.7
79,-0.21,8.27
80,-0.21,8.85
81,-0.21,9.4
82,-0.21,9.92
83,-0.21,10.38
84,-0.21,10.77
85,-0.22,11.06
86,-0.22,11.22
87,-0.22,11.29
88,-0.23,11.24
89,-0.23,11.09
90,-0.24,10.83
91,-0.24,10.5
92,-0.25,10.09
93,-0.26,9.62
94,-0.26,9.13
95,-0.26,8.64
96,-0.27,8.15
97,-0.27,7.68
98,-0.28,7.22
99,-0.28,6.78
100,-0.28,6.36
101,-0.27,5.96
102,-0.28,5.6
103,-0.27,5.28
104,-0.27,5.0
105,-0.27,4.76
106,-0.27,4.57
107,-0.26,4.42
108,-0.26,4.31
109,-0.25,4.24
110,-0.24,4.21
111,-0.25,4.23
