Sample,Pose,Courant
0,5.25,0.52
1,5.25,0.52
2,5.25,0.52
3,5.25,0.52
4,5.25,0.52
5,5.25,0.52
6,5.25,0.52
7,5.25,0.52
8,5.25,0.52
9,5.25,0.52
10,5.25,0.52
11,5.25,0.52
12,5.25,0.52
13,5.25,0.52
14,5.25,0.52
15,5.25,0.52
16,5.25,0.52
17,5.25,0.52
18,5.25,0.52
19,5.25,0.52
20,5.25,0.52
21,5.25,0.52
22,5.25,0.52
23,5.25,0.52
24,5.25,0.52
25,5.25,0.52
26,5.25,0.52
27,5.25,0.52
28,5.25,0.52
29,5.25,0.52
30,5.25,0.52
31,5.25,0.52
32,5.25,0.52
33,5.25,0.52
34,5.25,0.52
35,5.25,0.52
36,5.26,0.52
37,5.26,0.52
38,5.26,0.52
39,5.26,0.52
40,5.26,0.52
41,5.26,0.52
42,5.26,0.52
43,5.26,0.52
44,5.26,0.53
45,5.26,0.52
46,5.26,0.52
47,5.26,0.52
48,5.26,0.52
49,5.26,0.52
50,5.26,0.52
51,5.26,0.52
52,5.26,0.52
53,5.26,0.52
54,5.26,0.52
55,5.26,0.52
56,5.26,0.52
57,5.26,0.52
58,5.26,0.52
59,5.26,0.52
60,5.26,0.52
61,5.26,0.52
62,5.26,0.52
63,5.26,0.52
64,5.26,0.52
65,5.26,0.52
66,5.26,0.52
67,5.26,0.52
68,5.26,0.52
69,5.26,0.53
70,5.26,0.53
71,5.26,0.52
72,5.26,0.53
73,5.26,0.53
74,5.26,0.53
75,5.26,0.53
76,5.26,0.53
77,5.26,0.52
78,5.26,0.53
79,5.26,0.52
80,5.26,0.53
81,5.26,0.53
82,5.26,0.53
83,5.26,0.53
84,5.26,0.52
85,5.26,0.53
86,5.26,0.54
87,5.26,0.53
88,5.26,0.53
89,5.26,0.53
90,5.26,0.53
91,5.26,0.53
92,5.26,0.53
93,5.26,0.53
94,5.26,0.53
95,5.26,0.53
96,5.26,0.53
97,5.26,0.53
98,5.27,0.53
99,5.27,0.54
100,5.27,0.53
101,5.27,0.53
102,5.27,0.53
103,5.27,0.53
104,5.27,0.53
105,5.27,0.53
106,5.27,0.53
107,5.27,0.53
108,5.27,0.53
109,5.27,0.53
110,5.27,0.53
111,5.27,0.53
112,5.27,0.53
113,5.27,0.53
114,5.27,0.53
115,5.27,0.53
116,5.27,0.53
117,5.27,0.53
118,5.27,0.53
119,5.27,0.53
120,5.27,0.53
121,5.27,0.53
122,5.27,0.53
123,5.27,0.53
124,5.27,0.53
125,5.27,0.53
126,5.27,0.53
127,5.27,0.53
128,5.27,0.53
129,5.27,0.53
130,5.27,0.53
131,5.27,0.53
132,5.27,0.53
133,5.27,0.53
134,5.27,0.53
135,5.27,0.53
136,5.27,0.53
137,5.27,0.53
138,5.27,0.53
139,5.27,0.53
140,5.27,0.53
141,5.27,0.53
142,5.27,0.53
143,5.27,0.53
144,5.27,0.54
145,5.27,0.53
146,5.27,0.53
147,5.27,0.53
148,5.27,0.53
149,5.27,0.53
150,5.27,0.53
151,5.27,0.53
152,5.27,0.53
153,5.27,0.54
154,5.27,0.54
155,5.27,0.53
156,5.27,0.54
157,5.27,0.54
158,5.27,0.53
159,5.27,0.54
160,5.28,0.54
161,5.28,0.53
162,5.28,0.54
163,5.28,0.54
164,5.28,0.54
165,5.28,0.54
166,5.28,0.54
167,5.28,0.54
168,5.28,0.54
169,5.28,0.54
170,5.28,0.54
171,5.28,0.54
172,5.28,0.54
173,5.28,0.54
174,5.28,0.54
175,5.28,0.54
176,5.28,0.54
177,5.28,0.54
178,5.28,0.54
