Sample,Pose,Courant
0,5.37,0.56
1,5.36,0.56
2,5.36,0.56
3,5.36,0.56
4,5.36,0.56
5,5.36,0.56
6,5.36,0.56
7,5.36,0.56
8,5.36,0.56
9,5.36,0.56
10,5.36,0.56
11,5.36,0.56
12,5.36,0.56
13,5.36,0.56
14,5.36,0.56
15,5.35,0.56
16,5.35,0.56
17,5.35,0.56
18,5.35,0.56
19,5.35,0.56
20,5.36,0.56
21,5.36,0.56
22,5.36,0.56
23,5.36,0.56
24,5.36,0.56
25,5.36,0.57
26,5.36,0.56
27,5.36,0.56
28,5.36,0.56
29,5.36,0.56
30,5.36,0.56
31,5.36,0.56
32,5.36,0.56
33,5.37,0.56
34,5.37,0.56
35,5.37,0.56
36,5.37,0.56
37,5.37,0.56
38,5.37,0.56
39,5.37,0.56
40,5.37,0.56
41,5.37,0.57
42,5.37,0.56
43,5.37,0.56
44,5.37,0.56
45,5.37,0.56
46,5.37,0.56
47,5.37,0.56
48,5.37,0.56
49,5.37,0.56
50,5.37,0.56
51,5.37,0.56
52,5.37,0.56
53,5.36,0.56
54,5.36,0.56
55,5.36,0.56
56,5.36,0.56
57,5.36,0.56
58,5.36,0.56
59,5.36,0.56
60,5.36,0.56
61,5.36,0.56
62,5.36,0.56
63,5.36,0.56
64,5.36,0.56
65,5.36,0.56
66,5.36,0.56
67,5.36,0.56
68,5.36,0.56
69,5.36,0.56
70,5.36,0.56
71,5.36,0.56
72,5.36,0.56
73,5.36,0.56
74,5.36,0.56
75,5.36,0.56
76,5.36,0.56
77,5.36,0.56
78,5.36,0.56
79,5.36,0.56
80,5.36,0.56
81,5.36,0.56
82,5.36,0.56
83,5.36,0.56
84,5.36,0.56
85,5.37,0.56
86,5.37,0.56
87,5.37,0.56
88,5.37,0.56
89,5.37,0.57
90,5.37,0.56
91,5.37,0.56
92,5.37,0.56
93,5.37,0.56
94,5.37,0.56
95,5.37,0.56
96,5.37,0.56
97,5.37,0.56
98,5.37,0.56
99,5.37,0.56
100,5.37,0.56
101,5.37,0.56
102,5.37,0.56
103,5.37,0.56
104,5.37,0.56
105,5.36,0.56
106,5.36,0.56
107,5.36,0.56
108,5.36,0.56
109,5.36,0.56
110,5.36,0.56
111,5.36,0.56
112,5.36,0.56
113,5.36,0.56
114,5.36,0.56
115,5.36,0.56
116,5.36,0.56
117,5.36,0.56
118,5.36,0.56
119,5.36,0.56
120,5.36,0.56
121,5.36,0.56
122,5.36,0.56
123,5.36,0.56
124,5.36,0.56
125,5.36,0.56
126,5.36,0.56
127,5.36,0.56
128,5.36,0.56
129,5.36,0.56
130,5.36,0.56
131,5.36,0.56
132,5.36,0.56
133,5.36,0.56
134,5.36,0.56
135,5.36,0.56
136,5.37,0.56
137,5.37,0.56
138,5.37,0.56
