Sample,Courant,Pose
0,0.54,5.34
1,0.54,5.34
2,0.54,5.34
3,0.54,5.34
4,0.54,5.34
5,0.54,5.34
6,0.54,5.34
7,0.55,5.34
8,0.55,5.34
9,0.55,5.34
10,0.55,5.34
11,0.55,5.34
12,0.55,5.34
13,0.54,5.34
14,0.54,5.34
15,0.55,5.34
16,0.55,5.35
17,0.54,5.35
18,0.55,5.35
19,0.55,5.35
20,0.54,5.35
21,0.54,5.35
22,0.54,5.35
23,0.54,5.35
24,0.54,5.35
25,0.54,5.35
26,0.54,5.35
27,0.55,5.35
28,0.55,5.35
29,0.55,5.35
30,0.55,5.35
31,0.54,5.35
32,0.55,5.35
33,0.55,5.35
34,0.54,5.35
35,0.55,5.35
36,0.54,5.35
37,0.55,5.35
38,0.54,5.35
39,0.54,5.35
40,0.54,5.35
41,0.55,5.35
42,0.55,5.34
43,0.54,5.34
44,0.55,5.34
45,0.54,5.34
46,0.54,5.34
47,0.55,5.34
48,0.55,5.34
49,0.55,5.34
50,0.55,5.34
51,0.55,5.34
52,0.54,5.34
53,0.55,5.34
54,0.54,5.34
55,0.54,5.34
56,0.54,5.34
57,0.54,5.34
58,0.54,5.34
59,0.55,5.34
60,0.54,5.34
61,0.55,5.34
62,0.55,5.34
63,0.54,5.35
64,0.54,5.35
65,0.55,5.35
66,0.54,5.35
67,0.54,5.35
68,0.55,5.35
69,0.54,5.35
70,0.55,5.35
71,0.55,5.35
72,0.54,5.35
73,0.54,5.35
74,0.54,5.35
75,0.54,5.35
76,0.55,5.35
77,0.55,5.35
78,0.54,5.35
79,0.55,5.35
80,0.55,5.35
81,0.54,5.35
82,0.55,5.35
83,0.54,5.35
84,0.54,5.35
85,0.55,5.35
86,0.55,5.35
87,0.55,5.35
88,0.54,5.35
89,0.55,5.35
90,0.55,5.35
91,0.54,5.35
92,0.55,5.35
93,0.55,5.35
94,0.54,5.35
95,0.54,5.35
96,0.54,5.35
97,0.54,5.35
98,0.55,5.35
99,0.54,5.35
100,0.54,5.35
101,0.54,5.35
102,0.54,5.35
103,0.54,5.34
104,0.54,5.34
105,0.55,5.34
106,0.54,5.34
107,0.55,5.34
108,0.55,5.34
109,0.55,5.34
110,0.55,5.34
111,0.55,5.34
112,0.55,5.34
113,0.55,5.34
114,0.54,5.34
115,0.54,5.35
116,0.55,5.35
117,0.54,5.35
118,0.54,5.35
119,0.54,5.35
120,0.54,5.35
121,0.55,5.35
122,0.55,5.35
123,0.54,5.35
124,0.55,5.35
125,0.54,5.35
126,0.54,5.35
127,0.54,5.35
128,0.55,5.35
129,0.54,5.35
130,0.55,5.35
131,0.55,5.35
132,0.55,5.35
133,0.55,5.35
134,0.55,5.35
135,0.54,5.35
136,0.54,5.35
137,0.54,5.35
138,0.55,5.35
139,0.55,5.35
140,0.55,5.35
141,0.54,5.35
142,0.54,5.35
143,0.54,5.35
144,0.55,5.35
145,0.55,5.35
146,0.55,5.35
147,0.54,5.35
148,0.55,5.35
149,0.55,5.35
150,0.55,5.35
151,0.55,5.34
152,0.54,5.34
153,0.55,5.34
154,0.54,5.34
155,0.55,5.34
156,0.54,5.34
157,0.54,5.34
158,0.54,5.34
159,0.54,5.34
160,0.54,5.34
161,0.54,5.34
162,0.55,5.34
163,0.55,5.34
164,0.55,5.34
165,0.55,5.34
166,0.55,5.34
167,0.55,5.34
168,0.54,5.34
169,0.55,5.35
170,0.54,5.35
171,0.54,5.35
172,0.55,5.35
173,0.55,5.35
174,0.55,5.35
175,0.54,5.35
176,0.55,5.35
177,0.54,5.35
178,0.54,5.35
179,0.54,5.35
180,0.54,5.35
181,0.55,5.35
182,0.55,5.35
183,0.55,5.35
184,0.54,5.35
185,0.55,5.35
186,0.55,5.35
187,0.55,5.35
188,0.55,5.35
189,0.55,5.35
190,0.55,5.35
191,0.55,5.35
192,0.54,5.35
193,0.54,5.35
194,0.55,5.35
195,0.54,5.35
196,0.54,5.35
197,0.54,5.35
198,0.55,5.35
199,0.54,5.35
200,0.54,5.35
201,0.54,5.35
202,0.54,5.35
203,0.54,5.35
204,0.54,5.35
205,0.54,5.35
206,0.54,5.35
207,0.54,5.35
208,0.55,5.35
209,0.55,5.35
210,0.55,5.35
211,0.55,5.35
212,0.55,5.35
213,0.55,5.35
214,0.54,5.35
215,0.54,5.35
216,0.54,5.35
217,0.54,5.35
218,0.54,5.35
219,0.54,5.35
220,0.54,5.35
221,0.55,5.35
222,0.55,5.35
223,0.55,5.35
224,0.54,5.35
225,0.55,5.35
226,0.54,5.35
227,0.55,5.35
228,0.54,5.35
229,0.54,5.35
230,0.55,5.35
231,0.55,5.35
232,0.55,5.35
233,0.54,5.35
234,0.54,5.35
235,0.55,5.35
236,0.54,5.35
237,0.54,5.35
238,0.54,5.35
239,0.54,5.35
240,0.55,5.35
241,0.55,5.35
242,0.54,5.35
243,0.55,5.35
244,0.55,5.35
245,0.54,5.35
246,0.55,5.35
247,0.54,5.35
248,0.55,5.35
249,0.55,5.34
250,0.54,5.34
251,0.55,5.34
252,0.55,5.34
253,0.55,5.34
254,0.55,5.34
255,0.54,5.34
256,0.55,5.34
257,0.54,5.34
258,0.55,5.34
259,0.54,5.34
260,0.54,5.34
261,0.54,5.34
262,0.54,5.34
263,-0.04,5.37
264,-0.04,5.36
265,-0.04,5.36
266,-0.04,5.36
267,-0.04,5.36
268,-0.04,5.36
269,-0.04,5.36
270,-0.04,5.36
271,-0.04,5.36
272,-0.04,5.36
273,-0.04,5.35
274,-0.04,5.35
275,-0.04,5.35
276,-0.04,5.35
277,-0.04,5.35
278,-0.04,5.35
279,-0.04,5.35
280,-0.04,5.35
281,-0.04,5.35
282,-0.04,5.35
283,-0.04,5.35
284,-0.04,5.35
285,-0.04,5.35
286,-0.04,5.36
287,-0.04,5.36
288,-0.04,5.36
289,-0.04,5.36
290,-0.04,5.36
291,-0.04,5.36
292,-0.04,5.36
293,-0.04,5.36
294,-0.04,5.36
295,-0.04,5.37
296,-0.04,5.37
297,-0.04,5.37
298,-0.04,5.37
299,-0.04,5.37
300,-0.04,5.37
301,-0.04,5.37
302,-0.04,5.37
303,-0.04,5.37
304,-0.04,5.37
305,-0.04,5.37
306,-0.04,5.37
307,-0.04,5.37
308,-0.04,5.36
309,-0.04,5.36
310,-0.04,5.36
311,-0.04,5.36
312,-0.04,5.36
313,-0.04,5.36
314,-0.04,5.36
315,-0.04,5.36
316,-0.04,5.36
317,-0.04,5.35
318,-0.04,5.35
319,-0.04,5.35
320,-0.04,5.35
321,-0.04,5.35
322,-0.04,5.35
323,-0.04,5.35
324,-0.04,5.35
325,-0.04,5.35
326,-0.04,5.35
327,-0.04,5.35
328,-0.04,5.35
329,-0.04,5.36
330,-0.04,5.36
331,-0.04,5.36
332,-0.04,5.36
333,-0.04,5.36
334,-0.04,5.36
335,-0.04,5.36
336,-0.04,5.36
337,-0.04,5.36
338,-0.04,5.37
339,-0.04,5.37
340,-0.04,5.37
341,-0.04,5.37
342,-0.04,5.37
343,-0.04,5.37
344,-0.04,5.37
345,-0.04,5.37
346,-0.04,5.37
347,-0.04,5.37
348,-0.04,5.37
349,-0.04,5.37
350,-0.04,5.37
351,-0.04,5.37
352,-0.04,5.36
353,-0.04,5.36
354,-0.04,5.36
355,-0.04,5.36
356,-0.04,5.36
357,-0.04,5.36
358,-0.04,5.36
359,-0.04,5.36
360,-0.04,5.36
361,-0.04,5.35
362,-0.04,5.35
363,-0.04,5.35
364,-0.04,5.35
365,-0.04,5.35
366,-0.04,5.35
367,-0.04,5.35
368,-0.04,5.35
369,-0.04,5.35
370,-0.04,5.35
371,-0.04,5.35
372,-0.04,5.35
373,-0.04,5.35
374,-0.04,5.35
375,-0.04,5.36
376,-0.04,5.36
377,-0.04,5.36
378,-0.04,5.36
379,-0.04,5.36
380,-0.04,5.36
381,-0.04,5.36
382,-0.04,5.36
383,-0.04,5.36
384,-0.04,5.37
385,-0.04,5.37
386,-0.04,5.37
387,-0.04,5.37
388,-0.04,5.37
389,-0.04,5.37
390,-0.04,5.37
391,-0.04,5.37
392,-0.04,5.37
393,-0.04,5.37
394,-0.04,5.37
395,-0.04,5.37
396,-0.05,5.36
397,-0.04,5.36
398,-0.04,5.36
399,-0.04,5.36
400,-0.04,5.36
401,-0.04,5.36
402,-0.04,5.36
403,-0.04,5.36
404,-0.04,5.35
405,-0.04,5.35
406,-0.04,5.35
407,-0.04,5.35
408,-0.04,5.35
409,-0.04,5.35
410,-0.04,5.35
411,-0.04,5.35
412,-0.04,5.35
413,-0.04,5.35
414,-0.04,5.35
415,-0.04,5.35
416,-0.04,5.35
417,-0.04,5.35
418,-0.04,5.35
419,-0.04,5.36
420,-0.04,5.36
421,-0.04,5.36
422,-0.04,5.36
423,-0.04,5.36
424,-0.04,5.36
425,-0.04,5.36
426,-0.04,5.36
427,-0.04,5.36
428,-0.04,5.37
429,-0.04,5.37
430,-0.04,5.37
431,-0.04,5.37
432,-0.04,5.37
433,-0.04,5.37
434,-0.04,5.37
435,-0.04,5.37
436,-0.04,5.37
437,-0.04,5.37
438,-0.04,5.37
439,-0.04,5.36
440,-0.04,5.36
441,-0.04,5.36
442,-0.04,5.36
443,-0.04,5.36
444,-0.04,5.36
445,-0.04,5.36
446,-0.04,5.36
447,-0.04,5.36
448,-0.04,5.35
449,-0.04,5.35
450,-0.04,5.35
451,-0.04,5.35
452,-0.04,5.35
453,-0.04,5.35
454,-0.04,5.35
455,-0.04,5.35
456,-0.04,5.35
457,-0.04,5.35
458,-0.04,5.35
459,-0.04,5.35
460,-0.04,5.35
461,-0.04,5.35
462,-0.04,5.35
463,-0.04,5.35
464,-0.04,5.36
465,-0.04,5.36
466,-0.04,5.36
467,-0.04,5.36
468,-0.04,5.36
469,-0.04,5.36
470,-0.04,5.36
471,-0.04,5.36
472,-0.04,5.36
473,-0.04,5.36
474,-0.04,5.37
475,-0.04,5.37
476,-0.04,5.37
477,-0.04,5.37
478,-0.04,5.37
479,-0.04,5.37
480,-0.04,5.37
481,-0.04,5.37
482,-0.04,5.37
483,-0.04,5.36
484,-0.04,5.36
485,-0.04,5.36
486,-0.04,5.36
487,-0.04,5.36
488,-0.04,5.36
489,-0.04,5.36
490,-0.04,5.36
491,-0.04,5.36
492,-0.04,5.36
493,-0.04,5.35
494,-0.04,5.35
495,-0.04,5.35
496,-0.04,5.35
497,-0.04,5.35
498,-0.04,5.35
499,-0.04,5.35
500,-0.04,5.35
501,-0.04,5.35
502,-0.04,5.35
503,-0.04,5.35
504,-0.04,5.35
505,-0.04,5.35
506,-0.04,5.36
507,-0.04,5.36
508,-0.04,5.36
509,-0.04,5.36
510,-0.04,5.36
511,-0.04,5.36
512,-0.04,5.36
513,-0.04,5.36
514,-0.04,5.36
515,-0.04,5.36
516,-0.04,5.37
517,-0.04,5.37
518,-0.04,5.37
519,-0.04,5.37
520,-0.04,5.37
521,-0.04,5.37
522,-0.04,5.37
523,-0.04,5.37
524,-0.04,5.37
525,-0.04,5.37
526,-0.04,5.37
527,-0.04,5.37
528,-0.04,5.36
529,-0.04,5.36
530,-0.04,5.36
531,-0.04,5.36
532,-0.04,5.36
533,-0.04,5.36
534,-0.04,5.36
535,-0.04,5.36
536,-0.04,5.36
537,-0.04,5.35
538,-0.04,5.35
539,-0.04,5.35
540,-0.04,5.35
541,-0.04,5.35
542,-0.04,5.35
543,-0.04,5.35
544,-0.04,5.35
545,-0.04,5.35
546,-0.04,5.35
547,-0.04,5.35
548,-0.04,5.35
549,-0.04,5.35
550,-0.04,5.35
551,-0.04,5.36
552,-0.04,5.36
553,-0.04,5.36
554,-0.04,5.36
555,-0.04,5.36
556,-0.04,5.36
557,-0.04,5.36
558,-0.04,5.36
559,-0.04,5.36
560,-0.04,5.37
561,-0.04,5.37
562,-0.04,5.37
563,-0.04,5.37
564,-0.04,5.37
565,-0.04,5.37
566,-0.04,5.37
567,-0.04,5.37
568,-0.04,5.37
569,-0.04,5.37
570,-0.04,5.37
571,-0.04,5.36
572,-0.04,5.36
573,-0.04,5.36
574,-0.04,5.36
575,-0.04,5.36
576,-0.04,5.36
577,-0.04,5.36
578,-0.04,5.36
579,-0.04,5.36
580,-0.04,5.36
581,-0.04,5.35
582,-0.04,5.35
583,-0.04,5.35
584,-0.04,5.35
585,-0.04,5.35
586,-0.04,5.35
587,-0.04,5.35
588,-0.04,5.35
589,-0.04,5.35
590,-0.04,5.35
591,-0.04,5.35
592,-0.04,5.35
593,-0.04,5.35
594,-0.04,5.35
595,-0.04,5.36
596,-0.04,5.36
597,-0.04,5.36
598,-0.04,5.36
599,-0.04,5.36
600,-0.04,5.36
601,-0.04,5.36
602,-0.04,5.36
603,-0.04,5.36
604,-0.04,5.36
605,-0.04,5.37
606,-0.04,5.37
607,-0.04,5.37
608,-0.04,5.37
609,-0.04,5.37
610,-0.04,5.37
611,-0.04,5.37
612,-0.04,5.37
613,-0.04,5.37
614,-0.04,5.36
615,-0.04,5.36
616,-0.04,5.36
617,-0.04,5.36
618,-0.04,5.36
619,-0.04,5.36
620,-0.04,5.36
621,-0.04,5.36
622,-0.04,5.36
623,-0.04,5.36
624,-0.04,5.35
625,-0.04,5.35
626,-0.04,5.35
627,-0.04,5.35
628,-0.04,5.35
629,-0.04,5.35
630,-0.04,5.35
631,-0.04,5.35
632,-0.04,5.35
633,-0.04,5.35
634,-0.04,5.35
635,-0.04,5.35
636,-0.04,5.35
637,-0.04,5.35
638,-0.04,5.35
639,-0.04,5.36
640,-0.04,5.36
641,-0.04,5.36
642,-0.04,5.36
643,-0.04,5.36
644,-0.04,5.36
645,-0.04,5.36
646,-0.04,5.36
647,-0.04,5.36
648,-0.04,5.36
649,-0.04,5.36
650,-0.04,5.37
651,-0.04,5.37
652,-0.04,5.37
653,-0.04,5.37
654,-0.04,5.37
655,-0.04,5.37
656,-0.04,5.37
657,-0.04,5.37
658,-0.04,5.36
659,-0.04,5.36
660,-0.04,5.36
661,-0.04,5.36
662,-0.04,5.36
663,-0.04,5.36
664,-0.04,5.36
665,-0.04,5.36
666,-0.04,5.36
667,-0.04,5.36
668,-0.04,5.35
669,-0.04,5.35
670,-0.04,5.35
671,-0.04,5.35
672,-0.04,5.35
673,-0.04,5.35
674,-0.04,5.35
675,-0.04,5.35
676,-0.04,5.35
677,-0.04,5.35
678,-0.04,5.35
679,-0.04,5.35
680,-0.04,5.35
681,-0.04,5.35
682,-0.04,5.35
683,-0.04,5.36
684,-0.04,5.36
685,-0.04,5.36
686,-0.04,5.36
687,-0.04,5.36
688,-0.04,5.36
689,-0.04,5.36
690,-0.04,5.36
691,-0.04,5.36
692,-0.04,5.36
693,-0.04,5.36
694,-0.04,5.36
695,-0.04,5.36
696,-0.04,5.36
697,-0.04,5.37
698,-0.04,5.37
699,-0.04,5.36
700,-0.04,5.36
701,-0.04,5.36
702,-0.04,5.36
703,-0.04,5.36
704,-0.04,5.36
705,-0.04,5.36
706,-0.04,5.36
707,-0.04,5.36
708,-0.04,5.36
709,-0.04,5.36
710,-0.04,5.36
711,-0.04,5.36
712,-0.04,5.36
713,-0.04,5.35
714,-0.04,5.35
715,-0.04,5.35
716,-0.04,5.35
717,-0.04,5.35
718,-0.04,5.35
719,-0.04,5.35
720,-0.04,5.35
721,-0.04,5.35
722,-0.04,5.35
723,-0.04,5.35
724,-0.04,5.36
725,-0.04,5.36
726,-0.04,5.36
727,-0.04,5.36
728,-0.04,5.36
729,-0.04,5.36
730,-0.04,5.36
731,-0.04,5.36
732,-0.04,5.36
733,-0.04,5.36
734,-0.04,5.36
735,-0.04,5.36
736,-0.04,5.36
737,-0.04,5.36
738,-0.04,5.37
739,-0.04,5.37
740,-0.04,5.37
741,-0.04,5.37
742,-0.04,5.37
743,-0.04,5.36
744,-0.04,5.36
745,-0.04,5.36
746,-0.04,5.36
747,-0.04,5.36
748,-0.04,5.36
749,-0.04,5.36
750,-0.04,5.36
751,-0.04,5.36
752,-0.04,5.36
753,-0.04,5.36
754,-0.04,5.36
755,-0.04,5.36
756,-0.04,5.36
757,-0.04,5.36
758,-0.04,5.36
759,-0.04,5.36
760,-0.04,5.36
761,-0.04,5.36
762,-0.04,5.36
763,-0.04,5.36
764,-0.04,5.36
765,-0.04,5.36
766,-0.04,5.36
767,-0.04,5.36
768,-0.04,5.36
769,-0.04,5.36
770,-0.04,5.36
771,-0.04,5.36
772,-0.04,5.36
773,-0.04,5.36
774,-0.04,5.36
775,-0.04,5.36
776,-0.04,5.36
777,-0.04,5.37
778,-0.04,5.37
779,-0.04,5.37
780,-0.04,5.37
781,-0.04,5.37
782,-0.04,5.37
783,-0.04,5.37
784,-0.04,5.37
785,-0.04,5.37
786,-0.04,5.37
787,-0.04,5.37
788,-0.04,5.37
789,-0.04,5.36
790,-0.04,5.36
791,-0.04,5.36
792,-0.04,5.36
793,-0.04,5.36
794,-0.04,5.36
795,-0.04,5.36
796,-0.04,5.36
797,-0.04,5.36
798,-0.04,5.36
799,-0.04,5.36
800,-0.04,5.36
801,-0.04,5.36
802,-0.04,5.36
803,-0.04,5.36
804,-0.04,5.36
805,-0.04,5.36
806,-0.04,5.36
807,-0.04,5.36
808,-0.04,5.36
809,-0.04,5.36
810,-0.04,5.36
811,-0.04,5.36
812,-0.04,5.36
813,-0.04,5.36
814,-0.04,5.36
815,-0.04,5.36
816,-0.04,5.36
817,-0.04,5.36
818,-0.04,5.36
819,-0.04,5.36
820,-0.04,5.36
821,-0.04,5.36
822,-0.04,5.36
823,-0.04,5.37
824,-0.04,5.37
825,-0.04,5.37
826,-0.04,5.37
827,-0.04,5.37
828,-0.04,5.37
829,-0.04,5.37
830,-0.04,5.37
831,-0.04,5.37
832,-0.04,5.36
833,-0.04,5.36
834,-0.04,5.36
835,-0.04,5.36
836,-0.04,5.36
837,-0.04,5.36
838,-0.04,5.36
