Sample,Courant,Pose
0,-3.33,1.0
1,1.84,1.9
2,1.74,2.72
3,1.61,3.46
4,1.46,4.12
5,1.31,4.71
6,1.15,5.24
7,1.0,5.69
8,0.86,6.08
9,0.73,6.41
10,0.6,6.66
11,0.5,6.85
12,0.4,6.97
13,0.32,7.02
14,0.23,7.01
15,0.17,6.94
16,0.09,6.82
17,0.04,6.65
18,-0.01,6.45
19,-0.05,6.23
20,-0.08,5.98
21,-0.11,5.72
22,-0.14,5.44
23,-0.17,5.14
24,-0.19,4.81
25,-0.21,4.43
26,-0.22,3.98
27,-0.24,3.48
28,-0.25,2.94
29,-0.26,2.39
30,-0.27,1.9
31,-0.28,1.48
32,-0.28,1.14
33,-0.29,0.89
34,-0.3,0.74
35,-0.29,0.69
36,-0.29,0.72
37,-0.28,0.83
38,-0.28,0.98
39,-0.28,1.16
40,-0.28,1.35
41,-0.28,1.55
42,-0.28,1.76
43,-0.27,1.98
44,-0.26,2.22
45,-0.25,2.46
46,-0.25,2.72
47,-0.24,2.98
48,-0.24,3.25
49,-0.24,3.52
50,-0.23,3.79
51,-0.22,4.05
52,-0.22,4.29
53,-0.21,4.51
54,-0.21,4.71
55,-0.21,4.88
56,-0.2,5.01
57,-0.2,5.1
58,-0.19,5.14
59,-0.19,5.15
60,-0.19,5.12
61,-0.18,5.07
62,-0.18,4.98
63,-0.18,4.88
64,-0.18,4.75
65,-0.18,4.59
66,-0.18,4.42
67,-0.18,4.22
68,-0.18,4.01
69,-0.18,3.76
70,-0.19,3.48
71,-0.18,3.16
72,-0.19,2.79
73,-0.19,2.39
74,-0.19,1.99
75,-0.19,1.61
76,-0.19,1.29
77,-0.19,1.04
78,-0.19,0.86
79,-0.19,0.77
80,-0.19,0.75
81,-0.19,0.79
82,-0.19,0.88
83,-0.19,1.01
84,-0.19,1.17
85,-0.19,1.34
86,-0.18,1.54
87,-0.17,1.74
88,-0.17,1.94
89,-0.17,2.16
90,-0.17,2.38
91,-0.16,2.61
92,-0.15,2.86
93,-0.15,3.1
94,-0.15,3.36
95,-0.15,3.61
96,-0.15,3.85
97,-0.14,4.07
98,-0.14,4.29
99,-0.13,4.48
100,-0.13,4.65
101,-0.13,4.79
102,-0.12,4.89
103,-0.12,4.96
104,-0.12,5.0
105,-0.12,5.0
106,-0.11,4.96
107,-0.11,4.9
108,-0.11,4.81
109,-0.11,4.71
110,-0.11,4.59
111,-0.11,4.45
112,-0.12,4.29
113,-0.12,4.12
114,-0.12,3.92
115,-0.12,3.7
116,-0.13,3.45
117,-0.13,3.18
118,-0.13,2.89
119,-0.13,2.6
120,-0.13,2.3
121,-0.14,2.03
122,-0.14,1.8
123,-0.14,1.61
124,-0.14,1.49
125,-0.14,1.43
126,-0.14,1.43
127,-0.14,1.47
128,-0.14,1.54
129,-0.14,1.64
130,-0.14,1.76
131,-0.13,1.9
132,-0.13,2.05
133,-0.14,2.21
134,-0.13,2.37
135,-0.13,2.56
136,-0.13,2.75
137,-0.12,2.94
138,-0.12,3.15
139,-0.12,3.36
140,-0.11,3.57
141,-0.11,3.78
142,-0.11,3.99
143,-0.11,4.19
144,-0.1,4.37
145,-0.1,4.53
146,-0.09,4.66
147,-0.09,4.77
148,-0.09,4.85
149,-0.09,4.91
150,-0.09,4.93
151,-0.09,4.92
152,-0.09,4.89
153,-0.09,4.83
154,-0.09,4.75
155,-0.09,4.65
156,-0.09,4.53
157,-0.09,4.4
158,-0.09,4.26
159,-0.09,4.1
160,-0.09,3.92
161,-0.09,3.73
162,-0.1,3.52
163,-0.1,3.3
164,-0.11,3.07
165,-0.11,2.85
166,-0.11,2.62
167,-0.11,2.41
168,-0.11,2.24
169,-0.11,2.1
170,-0.11,2.0
171,-0.11,1.94
172,-0.11,1.93
173,-0.12,1.95
174,-0.12,2.0
175,-0.11,2.08
176,-0.11,2.17
177,-0.11,2.28
178,-0.11,2.4
179,-0.11,2.53
180,-0.11,2.67
181,-0.11,2.83
182,-0.1,2.99
183,-0.1,3.16
184,-0.1,3.33
185,-0.09,3.52
186,-0.09,3.7
187,-0.09,3.89
188,-0.09,4.07
189,-0.08,4.23
190,-0.08,4.39
191,-0.08,4.53
192,-0.07,4.64
193,-0.07,4.73
194,-0.07,4.8
195,-0.07,4.84
196,-0.07,4.86
197,-0.07,4.84
198,-0.07,4.81
199,-0.07,4.75
200,-0.07,4.67
201,-0.07,4.58
202,-0.07,4.47
203,-0.07,4.35
204,-0.07,4.22
205,-0.07,4.08
206,-0.07,3.93
207,-0.07,3.76
208,-0.07,3.58
209,-0.08,3.39
210,-0.08,3.2
211,-0.09,3.02
212,-0.09,2.84
213,-0.09,2.68
214,-0.09,2.54
215,-0.09,2.43
216,-0.09,2.36
217,-0.09,2.32
218,-0.09,2.31
219,-0.09,2.32
220,-0.09,2.36
221,-0.09,2.42
222,-0.09,2.49
223,-0.09,2.57
224,-0.09,2.67
225,-0.09,2.78
226,-0.09,2.91
227,-0.08,3.04
228,-0.08,3.18
229,-0.08,3.33
230,-0.08,3.49
231,-0.07,3.65
232,-0.07,3.81
233,-0.07,3.97
234,-0.07,4.12
235,-0.06,4.27
236,-0.06,4.4
237,-0.07,4.52
238,-0.06,4.62
239,-0.06,4.69
240,-0.06,4.75
241,-0.05,4.78
242,-0.06,4.79
243,-0.05,4.77
244,-0.05,4.74
245,-0.05,4.68
246,-0.05,4.61
247,-0.05,4.52
248,-0.05,4.42
249,-0.05,4.31
250,-0.05,4.19
251,-0.06,4.06
252,-0.43,13.43
253,-0.43,13.43
254,-0.43,13.43
255,-0.43,13.43
256,-0.43,13.43
257,-0.43,13.43
258,-0.44,13.43
259,-0.45,13.43
260,-0.44,13.43
261,-0.45,13.43
262,-0.45,13.43
263,-0.45,13.43
264,-0.45,13.43
265,-0.45,13.43
266,-0.45,13.43
267,-0.46,13.43
268,-0.47,13.43
269,-0.47,13.43
270,-0.47,13.43
271,-0.47,13.43
272,-0.47,13.43
273,-0.48,13.43
274,-0.47,13.43
275,-0.48,13.43
276,-0.49,13.43
277,-0.49,13.43
278,-0.49,13.43
279,-0.49,13.43
280,-0.49,13.43
281,-0.49,13.43
282,-0.49,13.43
283,-0.5,13.43
284,-0.5,13.43
285,-0.51,13.43
286,-0.51,13.43
287,-0.51,13.43
288,-0.51,13.43
289,-0.52,13.43
290,-0.52,13.43
291,-0.52,13.43
292,-0.52,13.43
293,-0.52,13.43
294,-0.52,13.43
295,-0.52,13.43
296,-0.53,13.43
297,-0.53,13.43
298,-0.53,13.43
299,-0.54,13.43
300,-0.54,13.43
301,-0.54,13.43
302,-0.54,13.43
303,-0.54,13.43
304,-0.55,13.43
305,-0.55,13.43
306,-0.56,13.43
307,-0.56,13.43
308,-0.56,13.43
309,-0.56,13.43
310,-0.56,13.43
311,-0.57,13.43
312,-0.57,13.43
313,-0.58,13.43
314,-0.58,13.43
315,-0.58,13.43
316,-0.58,13.43
317,-0.58,13.43
318,-0.58,13.43
319,-0.59,13.43
320,-0.6,13.43
321,-0.6,13.43
322,-0.6,13.43
323,-0.6,13.43
324,-0.6,13.43
325,-0.6,13.43
326,-0.61,13.43
327,-0.61,13.43
328,-0.61,13.43
329,-0.62,13.43
330,-0.62,13.43
331,-0.62,13.43
332,-0.62,13.43
333,-0.62,13.43
334,-0.63,13.43
335,-0.63,13.43
336,-0.64,13.43
337,-0.64,13.43
338,-0.64,13.43
339,-0.64,13.43
340,-0.64,13.43
341,-0.65,13.43
342,-0.65,13.43
343,-0.65,13.43
344,-0.65,13.43
345,-0.65,13.43
346,-0.66,13.43
347,-0.66,13.43
348,-0.67,13.43
349,-0.67,13.43
350,-0.67,13.43
351,-0.67,13.43
352,-0.67,13.43
353,-0.68,13.43
354,-0.68,13.43
355,-0.68,13.43
356,-0.69,13.43
357,-0.69,13.43
358,-0.69,13.43
359,-0.69,13.43
360,-0.7,13.43
361,-0.7,13.43
362,-0.7,13.43
363,-0.71,13.43
364,-0.71,13.43
365,-0.71,13.43
366,-0.71,13.43
367,-0.71,13.43
368,-0.72,13.43
369,-0.72,13.43
370,-0.73,13.43
371,-0.73,13.43
372,-0.73,13.43
373,-0.73,13.43
374,-0.73,13.43
375,-0.74,13.43
376,-0.74,13.43
377,-0.75,13.43
378,-0.75,13.43
379,-0.75,13.43
380,-0.75,13.43
381,-0.75,13.43
382,-0.75,13.43
383,-0.76,13.43
384,-0.77,13.43
385,-0.77,13.43
386,-0.77,13.43
387,-0.77,13.43
388,-0.77,13.43
389,-0.78,13.43
390,-0.77,13.43
391,-0.78,13.43
392,-0.79,13.43
393,-0.79,13.43
394,-0.79,13.43
395,-0.79,13.43
396,-0.79,13.43
397,-0.8,13.43
398,-0.8,13.43
399,-0.8,13.43
400,-0.81,13.43
401,-0.81,13.43
402,-0.81,13.43
