Sample,Courant,Pose
0,1.95,0.99
1,1.96,0.99
2,1.96,0.99
3,1.96,0.99
4,1.95,0.99
5,1.96,0.99
6,1.96,0.99
7,1.96,0.99
8,1.96,0.99
9,1.96,0.99
10,1.96,0.99
11,1.96,0.99
12,1.96,0.99
13,1.96,0.99
14,1.96,0.99
15,1.96,0.99
16,1.96,0.99
17,1.96,0.99
18,1.96,0.99
19,1.96,0.99
20,1.96,0.99
21,1.96,0.99
22,1.96,0.99
23,1.96,0.99
24,1.96,0.99
25,1.96,0.99
26,1.96,0.99
27,1.96,0.99
28,1.96,0.99
29,1.97,0.99
30,1.96,0.99
31,1.96,0.99
32,1.96,0.99
33,1.97,0.99
34,1.97,0.99
35,1.97,0.99
36,1.97,0.99
37,1.97,0.99
38,1.97,0.99
39,1.97,0.99
40,1.97,0.99
41,1.97,0.99
42,1.97,0.99
43,1.97,0.99
44,1.97,0.99
45,1.97,0.99
46,1.97,0.99
47,1.97,0.99
48,1.97,0.99
49,1.97,0.99
50,1.97,0.99
51,1.97,0.99
52,1.98,0.99
53,1.98,0.99
54,1.98,0.99
55,1.97,0.99
56,1.98,0.99
57,1.98,0.99
58,1.98,0.99
59,1.98,0.99
60,1.98,0.99
61,1.98,0.99
62,1.98,0.99
63,1.98,0.99
64,1.98,0.99
65,1.98,0.99
66,1.98,0.99
67,1.98,0.99
68,1.98,0.99
69,1.98,0.99
70,1.98,0.99
71,1.98,0.99
72,1.98,0.99
73,1.98,0.99
74,1.98,0.99
75,1.98,0.99
76,1.98,0.99
77,1.98,0.99
78,1.98,0.99
79,1.98,0.99
80,1.98,0.99
81,1.98,0.99
82,1.98,0.99
83,1.98,0.99
84,1.99,0.99
85,1.99,0.99
86,1.99,0.99
87,1.98,0.99
88,1.99,0.99
89,1.99,0.99
90,1.98,0.99
91,1.98,0.99
92,1.99,0.99
93,1.99,0.99
94,1.99,0.99
95,1.99,0.99
96,1.99,0.99
97,1.99,0.99
98,1.99,0.99
99,1.99,0.99
100,1.99,0.99
101,2.0,0.99
102,1.99,0.99
103,1.99,0.99
104,1.99,0.99
105,1.99,0.99
106,2.0,0.99
107,2.0,0.99
108,1.99,0.99
109,2.0,0.99
110,1.99,0.99
111,2.0,0.99
112,1.99,0.99
113,2.0,0.99
114,2.0,0.99
115,2.0,0.99
116,2.0,0.99
117,2.0,0.99
118,2.0,0.99
119,2.0,0.99
120,2.0,0.99
121,2.0,0.99
122,2.0,0.99
123,2.0,0.99
124,2.0,0.99
125,2.0,0.99
126,2.0,0.99
127,2.0,0.99
128,2.0,0.99
129,2.0,0.99
130,2.0,0.99
131,2.0,0.99
132,2.0,0.99
133,2.0,0.99
134,2.0,0.99
135,2.0,0.99
136,2.0,0.99
137,2.01,0.99
138,2.01,0.99
139,2.0,0.99
140,2.01,0.99
141,2.01,0.99
142,2.0,0.99
143,2.0,0.99
144,2.01,0.99
145,2.01,0.99
146,2.01,0.99
147,2.01,0.99
148,2.01,0.99
149,2.01,0.99
150,2.01,0.99
151,2.01,0.99
152,2.01,0.99
153,2.01,0.99
154,2.01,0.99
155,2.02,0.99
156,2.02,0.99
157,2.02,0.99
158,2.01,0.99
159,2.01,0.99
160,2.02,0.99
161,2.02,0.99
162,2.01,0.99
163,2.02,0.99
164,2.02,0.99
165,2.02,0.99
166,2.02,0.99
167,2.02,0.99
168,2.02,0.99
169,2.02,0.99
170,2.02,0.99
171,2.02,0.99
172,2.02,0.99
173,2.02,0.99
174,2.02,0.99
175,2.02,0.99
176,2.02,0.99
177,2.02,0.99
178,2.02,0.99
179,2.02,0.99
180,2.02,0.99
181,2.02,0.99
182,2.02,0.99
183,2.02,0.99
184,2.02,0.99
185,2.02,0.99
186,2.02,0.99
187,2.02,0.99
188,2.02,0.99
189,2.02,0.99
190,2.02,0.99
191,2.02,0.99
192,2.03,0.99
193,2.02,0.99
194,2.02,0.99
195,2.02,0.99
196,2.03,0.99
197,2.03,0.99
198,2.03,0.99
199,2.03,0.99
200,2.03,0.99
201,2.03,0.99
202,2.03,0.99
203,2.03,0.99
204,2.03,0.99
205,2.03,0.99
206,2.03,0.99
207,2.03,0.99
208,2.04,0.99
209,2.03,0.99
210,2.03,0.99
211,2.04,0.99
212,2.03,0.99
213,2.04,0.99
214,2.04,0.99
215,2.04,0.99
216,2.04,0.99
217,2.04,0.99
218,2.04,0.99
219,2.04,0.99
220,2.04,0.99
221,2.04,0.99
222,2.04,0.99
223,2.04,0.99
224,2.04,0.99
225,2.04,0.99
226,2.04,0.99
227,2.04,0.99
228,2.04,0.99
229,2.04,0.99
230,2.04,0.99
231,2.04,0.99
232,2.04,0.99
233,2.04,0.99
234,2.04,0.99
235,2.04,0.99
236,2.04,0.99
237,2.04,0.99
238,2.04,0.99
239,2.04,0.99
240,2.04,0.99
241,2.04,0.99
242,2.04,0.99
243,2.04,0.99
244,2.05,0.99
245,2.05,0.99
246,2.05,0.99
247,2.05,0.99
248,2.05,0.99
249,2.05,0.99
250,2.04,0.99
251,2.05,0.99
252,2.04,0.99
253,2.05,13.43
254,2.05,13.43
255,2.05,13.43
256,2.04,13.43
257,2.05,13.43
258,2.04,13.43
259,2.04,13.43
260,2.04,13.43
261,2.04,13.43
262,2.04,13.43
263,2.04,13.43
264,2.04,13.43
265,2.04,13.43
266,2.04,13.43
267,2.04,13.43
268,2.04,13.43
269,2.04,13.43
270,2.04,13.43
271,2.04,13.43
272,2.04,13.43
273,2.04,13.43
274,2.04,13.43
275,2.03,13.43
276,2.04,13.43
277,2.04,13.43
278,2.03,13.43
279,2.04,13.43
280,2.04,13.43
281,2.04,13.43
282,2.04,13.43
283,2.03,13.43
284,2.03,13.43
285,2.03,13.43
286,2.03,13.43
287,2.02,13.43
288,2.03,13.43
289,2.02,13.43
290,2.02,13.43
291,2.02,13.43
292,2.02,13.43
293,2.02,13.43
294,2.02,13.43
295,2.02,13.43
296,2.02,13.43
297,2.02,13.43
298,2.02,13.43
299,2.02,13.43
300,2.02,13.43
301,2.02,13.43
302,2.02,13.43
303,2.02,13.43
304,2.02,13.43
305,2.02,13.43
306,2.02,13.43
307,2.01,13.43
308,2.02,13.43
309,2.02,13.43
310,2.02,13.43
311,2.02,13.43
312,2.01,13.43
313,2.01,13.43
314,2.01,13.43
315,2.01,13.43
316,2.02,13.43
317,2.01,13.43
318,2.01,13.43
319,2.01,13.43
320,2.01,13.43
321,2.0,13.43
322,2.0,13.43
323,2.0,13.43
324,2.0,13.43
325,2.01,13.43
326,2.0,13.43
327,2.0,13.43
328,2.0,13.43
329,2.0,13.43
330,2.0,13.43
331,2.0,13.43
332,2.0,13.43
333,2.0,13.43
334,2.0,13.43
335,2.0,13.43
336,2.0,13.43
337,2.0,13.43
338,2.0,13.43
339,2.0,13.43
340,2.0,13.43
341,2.0,13.43
342,2.0,13.43
343,1.99,13.43
344,2.0,13.43
345,1.99,13.43
346,1.99,13.43
347,1.99,13.43
348,1.99,13.43
349,1.99,13.43
350,1.99,13.43
351,1.99,13.43
352,1.99,13.43
353,1.98,13.43
354,1.99,13.43
355,1.98,13.43
356,1.99,13.43
357,1.98,13.43
358,1.98,13.43
359,1.98,13.43
360,1.98,13.43
361,1.98,13.43
362,1.98,13.43
363,1.98,13.43
364,1.98,13.43
365,1.98,13.43
366,1.98,13.43
367,1.98,13.43
368,1.98,13.43
369,1.98,13.43
370,1.98,13.43
371,1.98,13.43
372,1.98,13.43
373,1.98,13.43
374,1.97,13.43
375,1.97,13.43
376,1.97,13.43
377,1.98,13.43
378,1.97,13.43
379,1.98,13.43
380,1.97,13.43
381,1.97,13.43
382,1.97,13.43
383,1.97,13.43
384,1.97,13.43
385,1.96,13.43
386,1.97,13.43
387,1.96,13.43
388,1.96,13.43
389,1.96,13.43
390,1.96,13.43
391,1.96,13.43
392,1.96,13.43
393,1.96,13.43
394,1.96,13.43
395,1.96,13.43
396,1.96,13.43
397,1.96,13.43
398,1.96,13.43
399,1.96,13.43
400,1.96,13.43
401,1.96,13.43
402,1.96,13.43
403,1.96,13.43
404,1.96,13.43
405,1.96,13.43
406,1.96,13.43
407,1.95,13.43
408,1.95,13.43
409,1.96,13.43
410,1.96,13.43
411,1.95,13.43
412,1.95,13.43
413,1.95,13.43
414,1.95,13.43
415,1.95,13.43
416,1.95,13.43
417,1.95,13.43
418,1.95,13.43
419,1.95,13.43
420,1.95,13.43
421,1.95,13.43
422,1.95,13.43
423,1.95,13.43
424,1.95,13.43
425,1.95,13.43
426,1.95,13.43
427,1.94,13.43
428,1.95,13.43
429,1.95,13.43
430,1.95,13.43
431,1.94,13.43
432,1.94,13.43
433,1.94,13.43
434,1.94,13.43
435,1.94,13.43
436,1.94,13.43
437,1.93,13.43
438,1.94,13.43
439,1.94,13.43
440,1.93,13.43
441,1.94,13.43
442,1.93,13.43
443,1.93,13.43
444,1.93,13.43
445,1.93,13.43
446,1.93,13.43
447,1.93,13.43
448,1.93,13.43
449,1.93,13.43
450,1.93,13.43
451,1.93,13.43
452,1.93,13.43
453,1.93,13.43
454,1.93,13.43
455,1.93,13.43
456,1.93,13.43
457,1.93,13.43
458,1.93,13.43
459,1.93,13.43
460,1.93,13.43
461,1.93,13.43
462,1.93,13.43
463,1.92,13.43
464,1.92,13.43
465,1.92,13.43
466,1.92,13.43
467,1.92,13.43
468,1.92,13.43
469,1.92,13.43
470,1.92,13.43
471,1.92,13.43
472,1.92,13.43
473,1.91,13.43
474,1.91,13.43
475,1.91,13.43
476,1.92,13.43
477,1.91,13.43
478,1.91,13.43
479,1.91,13.43
480,1.91,13.43
481,1.91,13.43
482,1.91,13.43
483,1.91,13.43
484,1.91,13.43
485,1.91,13.43
486,1.91,13.43
487,1.91,13.43
488,1.91,13.43
489,1.9,13.43
490,1.91,13.43
491,1.91,13.43
492,1.91,13.43
493,1.9,13.43
494,1.91,13.43
495,1.91,13.43
496,1.9,13.43
497,1.9,13.43
498,1.9,13.43
499,1.9,13.43
500,1.9,13.43
501,1.9,13.43
502,1.9,13.43
503,1.9,13.43
504,1.89,13.43
505,1.9,13.43
506,1.89,13.43
507,1.89,13.43
508,1.89,13.43
509,1.9,13.43
510,1.89,13.43
511,1.89,13.43
512,1.89,13.43
513,1.89,13.43
514,1.89,13.43
515,1.89,13.43
516,1.89,13.43
517,1.89,13.43
518,1.89,13.43
519,1.89,13.43
520,1.89,13.43
521,1.89,13.43
522,1.89,13.43
523,1.89,13.43
524,1.89,13.43
525,1.89,13.43
526,1.88,13.43
527,1.88,13.43
528,1.88,13.43
529,1.88,13.43
530,1.88,13.43
531,1.88,13.43
532,1.88,13.43
533,1.88,13.43
534,1.88,13.43
535,1.88,13.43
536,1.87,13.43
537,1.87,13.43
538,1.87,13.43
539,1.87,13.43
540,1.87,13.43
541,1.87,13.43
542,1.87,13.43
543,1.87,13.43
544,1.87,13.43
545,1.87,13.43
546,1.87,13.43
547,1.87,13.43
548,1.87,13.43
549,1.87,13.43
550,1.87,13.43
551,1.87,13.43
552,1.87,13.43
553,1.87,13.43
554,1.87,13.43
555,1.87,13.43
556,1.87,13.43
557,1.86,13.43
558,1.86,13.43
559,1.87,13.43
560,1.87,13.43
561,1.86,13.43
562,1.86,13.43
563,1.86,13.43
564,1.86,13.43
565,1.86,13.43
566,1.85,13.43
567,1.86,13.43
568,1.86,13.43
569,1.85,13.43
570,1.85,13.43
571,1.85,13.43
572,1.85,13.43
573,1.85,13.43
574,1.85,13.43
575,1.85,13.43
576,1.85,13.43
577,1.85,13.43
578,1.85,13.43
579,1.85,13.43
580,1.85,13.43
581,1.85,13.43
582,1.85,13.43
583,1.85,13.43
584,1.85,13.43
585,1.85,13.43
586,1.85,13.43
587,1.85,13.43
588,1.85,13.43
589,1.85,13.43
590,1.84,13.43
591,1.85,13.43
592,1.84,13.43
593,1.84,13.43
594,1.84,13.43
595,1.84,13.43
596,1.84,13.43
597,1.84,13.43
598,1.84,13.43
599,1.84,13.43
600,1.83,13.43
601,1.84,13.43
602,1.83,13.43
603,1.83,13.43
604,1.84,13.43
605,1.83,13.43
606,1.83,13.43
607,1.83,13.43
608,1.83,13.43
609,1.83,13.43
610,1.83,13.43
611,1.83,13.43
612,1.83,13.43
613,1.83,13.43
614,1.83,13.43
615,1.83,13.43
616,1.83,13.43
617,1.83,13.43
618,1.83,13.43
619,1.83,13.43
620,1.83,13.43
621,1.82,13.43
622,1.83,13.43
623,1.83,13.43
624,1.82,13.43
625,1.83,13.43
626,1.82,13.43
627,1.82,13.43
628,1.83,13.43
629,1.82,13.43
630,1.82,13.43
631,1.82,13.43
632,1.82,13.43
633,1.81,13.43
634,1.82,13.43
635,1.82,13.43
636,1.81,13.43
637,1.81,13.43
638,1.81,13.43
639,1.81,13.43
640,1.81,13.43
641,1.81,13.43
642,1.81,13.43
643,1.81,13.43
644,1.81,13.43
645,1.81,13.43
646,1.81,13.43
647,1.81,13.43
648,1.81,13.43
649,1.81,13.43
650,1.81,13.43
651,1.81,13.43
652,1.8,13.43
653,1.81,13.43
654,1.8,13.43
655,1.81,13.43
656,1.8,13.43
657,1.8,13.43
658,1.8,13.43
659,1.8,13.43
660,1.8,13.43
661,1.8,13.43
662,1.8,13.43
663,1.8,13.43
664,1.8,13.43
665,1.8,13.43
666,1.8,13.43
667,1.8,13.43
668,1.8,13.43
669,1.8,13.43
670,1.8,13.43
671,1.8,13.43
672,1.79,13.43
673,1.79,13.43
674,1.8,13.43
675,1.79,13.43
676,1.8,13.43
677,1.79,13.43
678,1.8,13.43
679,1.79,13.43
680,1.79,13.43
681,1.79,13.43
682,1.79,13.43
683,1.79,13.43
684,1.79,13.43
685,1.79,13.43
686,1.78,13.43
687,1.79,13.43
688,1.79,13.43
689,1.78,13.43
690,1.79,13.43
691,1.78,13.43
692,1.78,13.43
693,1.78,13.43
694,1.78,13.43
695,1.78,13.43
696,1.78,13.43
697,1.78,13.43
698,1.78,13.43
699,1.78,13.43
700,1.78,13.43
701,1.78,13.43
702,1.78,13.43
703,1.78,13.43
704,1.78,13.43
705,1.78,13.43
706,1.78,13.43
707,1.77,13.43
708,1.78,13.43
709,1.78,13.43
710,1.77,13.43
711,1.77,13.43
712,1.77,13.43
713,1.77,13.43
714,1.77,13.43
715,1.77,13.43
716,1.77,13.43
717,1.77,13.43
718,1.77,13.43
719,1.76,13.43
720,1.76,13.43
721,1.76,13.43
722,1.76,13.43
723,1.76,13.43
724,1.76,13.43
725,1.76,13.43
726,1.76,13.43
727,1.76,13.43
728,1.76,13.43
729,1.76,13.43
730,1.76,13.43
731,1.76,13.43
732,1.76,13.43
733,1.76,13.43
734,1.76,13.43
735,1.76,13.43
736,1.76,13.43
737,1.76,13.43
738,1.76,13.43
739,1.75,13.43
740,1.75,13.43
741,1.76,13.43
742,1.75,13.43
743,1.75,13.43
744,1.75,13.43
745,1.75,13.43
746,1.75,13.43
747,1.75,13.43
748,1.75,13.43
749,1.75,13.43
750,1.75,13.43
751,1.74,13.43
752,1.74,13.43
753,1.74,13.43
754,1.75,13.43
755,1.74,13.43
756,1.74,13.43
757,1.74,13.43
758,1.74,13.43
759,1.74,13.43
760,1.74,13.43
761,1.74,13.43
762,1.74,13.43
763,1.74,13.43
764,1.74,13.43
765,1.74,13.43
766,1.74,13.43
767,1.74,13.43
768,1.74,13.43
769,1.74,13.43
770,1.74,13.43
771,1.74,13.43
772,1.74,13.43
773,1.74,13.43
774,1.73,13.43
775,1.73,13.43
776,1.73,13.43
777,1.72,13.43
778,1.73,13.43
779,1.73,13.43
780,1.73,13.43
781,1.73,13.43
782,1.73,13.43
783,1.72,13.43
784,1.72,13.43
785,1.73,13.43
786,1.72,13.43
787,1.72,13.43
788,1.72,13.43
789,1.72,13.43
790,1.72,13.43
791,1.72,13.43
792,1.72,13.43
793,1.72,13.43
794,1.72,13.43
795,1.72,13.43
796,1.72,13.43
797,1.72,13.43
798,1.72,13.43
799,1.72,13.43
800,1.72,13.43
801,1.72,13.43
802,1.72,13.43
803,1.72,13.43
804,1.71,13.43
805,1.71,13.43
806,1.71,13.43
807,1.71,13.43
808,1.71,13.43
809,1.71,13.43
810,1.71,13.43
811,1.71,13.43
812,1.71,13.43
813,1.71,13.43
814,1.7,13.43
815,1.71,13.43
816,1.7,13.43
817,1.71,13.43
818,1.7,13.43
819,1.7,13.43
820,1.7,13.43
821,1.7,13.43
822,1.7,13.43
823,1.7,13.43
824,1.7,13.43
825,1.7,13.43
826,1.7,13.43
827,1.7,13.43
828,1.7,13.43
829,1.7,13.43
830,1.7,13.43
831,1.7,13.43
832,1.7,13.43
833,1.7,13.43
834,1.7,13.43
835,1.69,13.43
836,1.7,13.43
837,1.69,13.43
838,1.7,13.43
839,1.7,13.43
840,1.69,13.43
841,1.69,13.43
842,1.69,13.43
843,1.69,13.43
844,1.69,13.43
845,1.69,13.43
846,1.68,13.43
847,1.69,13.43
848,1.68,13.43
849,1.68,13.43
850,1.68,13.43
851,1.69,13.43
852,1.68,13.43
853,1.68,13.43
854,1.68,13.43
855,1.68,13.43
856,1.68,13.43
857,1.68,13.43
858,1.68,13.43
859,1.68,13.43
860,1.68,13.43
861,1.68,13.43
862,1.68,13.43
863,1.68,13.43
864,1.68,13.43
865,1.67,13.43
866,1.68,13.43
867,1.68,13.43
868,1.68,13.43
869,1.67,13.43
870,1.67,13.43
871,1.67,13.43
872,1.67,13.43
873,1.67,13.43
874,1.67,13.43
875,1.67,13.43
876,1.67,13.43
877,1.67,13.43
878,1.67,13.43
879,1.67,13.43
880,1.67,13.43
881,1.67,13.43
882,1.67,13.43
883,1.67,13.43
884,1.67,13.43
885,1.67,13.43
886,1.67,13.43
887,1.66,13.43
888,1.66,13.43
889,1.66,13.43
890,1.67,13.43
891,1.67,13.43
892,1.66,13.43
893,1.67,13.43
894,1.66,13.43
895,1.66,13.43
896,1.66,13.43
897,1.66,13.43
