Sample,Courant,Pose
0,0.57,5.38
1,0.58,5.38
2,0.58,5.38
3,0.58,5.38
4,0.58,5.38
5,0.57,5.38
6,0.58,5.38
7,0.58,5.38
8,0.57,5.38
9,0.57,5.38
10,0.58,5.38
11,0.58,5.38
12,0.58,5.38
13,0.58,5.38
14,0.57,5.38
15,0.57,5.38
16,0.58,5.38
17,0.57,5.38
18,0.57,5.38
19,0.57,5.38
20,0.57,5.38
21,0.57,5.38
22,0.57,5.38
23,0.57,5.38
24,0.57,5.38
25,0.57,5.38
26,0.58,5.38
27,0.58,5.38
28,0.58,5.38
29,0.57,5.38
30,0.58,5.38
31,0.57,5.38
32,0.57,5.38
33,0.57,5.38
34,0.58,5.38
35,0.58,5.38
36,0.58,5.38
37,0.58,5.38
38,0.58,5.38
39,0.57,5.38
40,0.57,5.38
41,0.58,5.38
42,0.57,5.38
43,0.57,5.38
44,0.57,5.38
45,0.57,5.38
46,0.57,5.38
47,0.57,5.38
48,0.57,5.38
49,0.57,5.38
50,0.57,5.38
51,0.58,5.38
52,0.57,5.38
53,0.57,5.38
54,0.56,5.38
55,0.57,5.38
56,0.57,5.38
57,0.57,5.38
58,0.57,5.38
59,0.57,5.38
60,0.57,5.38
61,0.57,5.38
62,0.57,5.38
63,0.56,5.38
64,0.57,5.38
65,0.57,5.38
66,0.57,5.38
67,0.56,5.38
68,0.57,5.38
69,0.57,5.37
70,0.57,5.37
71,0.56,5.37
72,0.57,5.37
73,0.57,5.37
74,0.57,5.37
75,0.57,5.37
76,0.57,5.37
77,0.57,5.37
78,0.57,5.37
79,0.57,5.37
80,0.57,5.37
81,0.57,5.37
82,0.57,5.37
83,0.57,5.37
84,0.57,5.37
85,0.57,5.37
86,0.57,5.37
87,0.56,5.37
88,0.57,5.37
89,0.57,5.37
90,0.57,5.37
91,0.57,5.37
92,0.57,5.37
93,0.57,5.37
94,0.57,5.37
95,0.57,5.37
96,0.57,5.37
97,0.57,5.37
98,0.57,5.37
99,0.57,5.37
100,0.57,5.37
101,0.56,5.37
102,0.57,5.37
103,0.57,5.37
104,0.57,5.37
105,0.57,5.37
106,0.57,5.37
107,0.56,5.37
108,0.57,5.37
109,0.56,5.37
110,0.57,5.37
111,0.57,5.37
112,0.56,5.37
113,0.57,5.37
114,0.57,5.37
115,0.57,5.37
116,0.57,5.37
117,0.56,5.37
118,0.56,5.37
119,0.57,5.37
120,0.57,5.37
121,0.57,5.37
122,0.57,5.37
123,0.56,5.37
124,0.56,5.37
125,0.57,5.37
126,0.56,5.37
127,0.56,5.37
128,0.57,5.37
129,0.57,5.37
130,0.57,5.37
131,0.57,5.37
132,0.57,5.37
133,0.57,5.37
134,0.56,5.37
135,0.57,5.37
136,0.56,5.37
137,0.56,5.37
138,0.57,5.37
139,0.56,5.37
140,0.57,5.37
141,0.57,5.37
142,0.57,5.37
143,0.57,5.37
144,0.57,5.37
145,0.57,5.37
146,0.57,5.37
147,0.56,5.37
148,0.56,5.37
149,0.57,5.37
150,0.57,5.37
